strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss,mask,corr_range_m
random_150,158,0.0618739769864977,0.1153771359367693,16.438821413588883,8.006678839925165,0.7088607594936709,0.3544303797468354,0.0189873417721519,0.9095380648144584,0,0.0609609226087459,14.755456829577362,0.5193465254213239,90,0.064354044161251,18.52575892570804,0.4716008709353251,68,off,500
feature_diverse_150,158,0.0642254186012857,0.1067409398875469,17.33517625072887,8.78685256923461,0.7215189873417721,0.4240506329113924,0.0632911392405063,0.9003596312541235,0,0.0600067326917563,15.490271737748612,0.5252686058547299,90,0.0673578605531218,20.576589666938613,0.4587186655030243,68,off,500
random_200,158,0.0531768478092786,0.0965191504101106,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,0,0.0514670369113724,69.5425180060564,0.5214722313810917,90,0.0567097281232514,86.55047210878222,0.4633910264735686,68,on,150
fscs_200,158,0.0531768478092786,0.0965191504101106,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,0,0.0514670369113724,69.5425180060564,0.5214722313810917,90,0.0567097281232514,86.55047210878222,0.4633910264735686,68,on,150
random_150,158,0.0616091681844793,0.11244026018289,68.85696587522196,40.91961331819914,0.9430379746835444,0.8670886075949367,0.8037974683544303,0.9109136887840092,0,0.0612221432749528,61.92543761199745,0.5272863636018372,90,0.0616091681844793,76.74246628145178,0.4665666329761537,68,on,150
feature_diverse_150,158,0.0618096843249104,0.1037218009185383,74.20830824776678,44.63063389652344,0.9493670886075948,0.879746835443038,0.8417721518987342,0.9014748160688102,0,0.0604714475727804,67.38447604852698,0.5271638734782166,90,0.0657994845555466,82.20875915231338,0.4512597018719598,68,on,150
fscs_150,158,0.0650077783092964,0.1085972860334049,69.27017217182191,40.83680872079071,0.9430379746835444,0.8670886075949367,0.8291139240506329,0.9110123714476664,0,0.060567990141459,62.59756857280911,0.5147774065502857,90,0.0671197064422883,79.80398712441237,0.4666357693677925,68,on,150
random_200,158,0.0531768478092786,0.0965191504101106,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.911549473666218,0,0.0514670369113724,30.362113152692064,0.5214722313810917,90,0.0567097281232514,36.47868786474872,0.4633910264735686,68,on,300
fscs_200,158,0.0531768478092786,0.0965191504101106,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.911549473666218,0,0.0514670369113724,30.362113152692064,0.5214722313810917,90,0.0567097281232514,36.47868786474872,0.4633910264735686,68,on,300
random_150,158,0.0616091681844793,0.11244026018289,31.39331671003459,16.3052389281791,0.8481012658227848,0.6835443037974683,0.5316455696202531,0.9109136887840092,0,0.0612221432749528,28.46906590510315,0.5272863636018372,90,0.0616091681844793,35.99933592330868,0.4665666329761537,68,on,300
feature_diverse_150,158,0.0618096843249104,0.1037218009185383,34.87888051090329,18.957379409406705,0.8607594936708861,0.7341772151898734,0.5822784810126582,0.9014748160688102,0,0.0604714475727804,30.93848184309661,0.5271638734782166,90,0.0657994845555466,41.21702707835635,0.4512597018719598,68,on,300
fscs_150,158,0.0650077783092964,0.1085972860334049,31.690219175174956,17.073128572382082,0.8481012658227848,0.7025316455696202,0.5506329113924051,0.9110123714476664,0,0.060567990141459,28.77651809501501,0.5147774065502857,90,0.0671197064422883,36.74612898302308,0.4666357693677925,68,on,300
random_200,158,0.0531768478092786,0.0965191504101106,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.0569620253164556,0.911549473666218,0,0.0514670369113724,14.90051975970108,0.5214722313810917,90,0.0567097281232514,18.99616436427989,0.4633910264735686,68,on,500
fscs_200,158,0.0531768478092786,0.0965191504101106,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.0569620253164556,0.911549473666218,0,0.0514670369113724,14.90051975970108,0.5214722313810917,90,0.0567097281232514,18.99616436427989,0.4633910264735686,68,on,500
