corr_range_m,nugget,sill,r2,n_points,n_bins,status,parent_id
2434.0336134453783,0.03245223827337757,0.08555590090254087,0.8336748340573865,200,17,ok,000000000000000004f7
1399.3697478991596,0.006208719881872341,0.07657421187642553,0.14398010712712683,200,20,ok,000000000000000004f9
4006.72268907563,0.03914800925827807,0.09134535493598214,0.9269083240219492,200,19,ok,000000000000000004fe
4006.72268907563,0.0025762170643893346,0.10047246551118404,0.6111365466652968,200,24,ok,00000000000000000517
1854.6218487394958,0.021016095067516373,0.049037555157538194,0.531283572745238,200,18,ok,0000000000000000051d
1689.0756302521008,0.0,0.20739949491166193,0.9656934903154178,200,18,ok,00000000000000000538
2723.7394957983192,0.06931439370571964,0.06931439370571964,0.630872449683057,200,18,ok,00000000000000000559
3261.7647058823527,0.0,0.13801157499668246,0.6471386529369685,200,20,ok,00000000000000000576
3220.378151260504,0.0,0.12007104413390612,0.8070982955809196,200,20,ok,00000000000000000577
4379.201680672269,0.11075293466852325,0.11075293466852325,0.6978102690427976,200,18,ok,0000000000000000057e
3178.991596638655,0.0,0.10706595948958955,0.9400402021392823,200,18,ok,0000000000000000057f
1730.4621848739496,0.02434718130245663,0.04521619384741945,0.6794669134428135,200,19,ok,00000000000000000594
5000.0,0.015009375205825695,0.1851156275385169,0.42935013767567387,200,22,ok,000000000000000005ad
2765.1260504201678,0.022416516895508585,0.07721244708452957,0.7258777715110799,200,15,ok,000000000000000005bd
4255.042016806722,0.07274415307116518,0.08890952042031298,0.9422670838416741,200,20,ok,000000000000000005bf
2723.7394957983192,0.0,0.16864365376738572,0.4957215159784286,200,20,ok,000000000000000005cc
3758.4033613445376,0.0,0.19225066920262965,0.7208514460375621,200,20,ok,000000000000000005d1
5000.0,0.09610758677974716,0.09610758677974716,0.6277926365967871,200,22,ok,000000000000000005de
4958.6134453781515,0.06628784020739738,0.06628784020739738,0.9365109587877667,200,19,ok,000000000000000005e7
2599.5798319327732,0.03195752948332005,0.18109266707214688,0.6396677148803931,200,19,ok,000000000000000005f9
5000.0,0.05128596245192066,0.05128596245192066,0.4789641045213969,200,19,ok,00000000000000000611
3965.3361344537816,0.04673710926441119,0.0632325595930269,0.8194566826229531,200,18,ok,0000000000000000061c
2020.1680672268908,0.04197209350989415,0.14457054431185762,0.7892500599502348,200,17,ok,00000000000000000624
5000.0,0.04908891937613,0.14726675812839,0.42820181089128706,200,23,ok,00000000000000000626
5000.0,0.039105897880645016,0.1346980926999995,0.7778196916415989,200,18,ok,0000000000000000062a
2889.285714285714,0.029829308248871533,0.029829308248871533,0.6595129429673308,200,19,ok,0000000000000000062f
2061.5546218487393,0.0,0.13902540394038782,0.8902187276366339,200,19,ok,00000000000000000632
1192.436974789916,0.010847043502984443,0.13378020320347478,0.6210526096635407,200,23,ok,00000000000000000636
2682.3529411764707,0.034590624337802786,0.04679907998643905,0.8643200461220607,200,19,ok,0000000000000000063e
3220.378151260504,0.00746808174142537,0.141893553087082,0.7109732841498622,200,20,ok,0000000000000000064a
2930.6722689075627,0.06462826065116609,0.1077137677519435,0.9286618732309437,200,18,ok,0000000000000000064d
5000.0,0.005395950884747955,0.10252306681021113,0.9502483441592802,200,20,ok,00000000000000000655
5000.0,0.07448848875752277,0.11173273313628414,0.891952781445466,200,17,ok,00000000000000000694
2102.9411764705883,0.05756648711140526,0.05756648711140526,-1.2343741434458475,200,20,ok,00000000000000000697
1068.2773109243697,0.024073092545100785,0.06346542580072025,-0.1344404735641207,200,19,ok,00000000000000000698
5000.0,0.0,0.19854866492402473,0.8740183840896899,200,19,ok,0000000000000000069d
5000.0,0.025993676340554817,0.06065191146129456,0.7900228201654327,200,20,ok,000000000000000006a8
5000.0,0.004877305303784114,0.09266880077189815,0.941281178377358,200,24,ok,000000000000000006b4
5000.0,0.035032207388330135,0.1651518348306992,0.6045370186971712,200,22,ok,000000000000000006b7
3592.8571428571427,0.05625015160068717,0.10446456725841902,0.9548895811534852,200,17,ok,000000000000000006be
3137.6050420168067,0.0,0.03906214918738166,0.8830139847650756,200,18,ok,000000000000000006c0
3385.924369747899,0.04259267734268565,0.05205771675217136,0.926397059844787,200,19,ok,000000000000000006cc
5000.0,0.0,0.0406204171250382,0.7402424463855233,200,18,ok,000000000000000006ce
5000.0,0.02610016099148001,0.07830048297444003,-0.7549233358965466,200,19,ok,000000000000000006d9
5000.0,0.02725507911887309,0.0938786058538962,0.04627897805961667,200,18,ok,000000000000000006df
4751.680672268907,0.06034993121237414,0.08164990693438853,0.6822913402317594,200,24,ok,000000000000000006e3
2227.1008403361343,0.017725758406503242,0.017725758406503242,0.575899702759975,200,20,ok,000000000000000006e5
