strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,mask,corr_range_m
feature_diverse_60,158,0.1081188045956844,0.1392323428292981,44.50410822392415,33.14263256682895,0.9430379746835444,0.9050632911392406,0.8037974683544303,0.8600799484591145,mask_on,150
fscs_60,158,0.1082607321983511,0.1553461453852142,42.52330151944037,29.24249462452652,0.9240506329113924,0.8607594936708861,0.7278481012658228,0.905198652726593,mask_on,150
spatial_thin_300_cap150,158,0.1102880985593301,0.1621707140678599,58.54590779347065,35.587343367730426,0.9556962025316456,0.8734177215189873,0.8037974683544303,0.868126491864098,mask_on,150
hybrid_300_diverse_150,158,0.1102880985593301,0.1621707140678599,58.54590779347065,35.587343367730426,0.9556962025316456,0.8734177215189873,0.8037974683544303,0.868126491864098,mask_on,150
random_60,158,0.1103287720147761,0.1494532806711442,40.5263636609125,28.36273897149435,0.9367088607594936,0.8670886075949367,0.7088607594936709,0.9102728262030656,mask_on,150
spatial_thin_100_cap60,158,0.1121217772250428,0.1543458158993083,47.71497624459174,39.30226662701608,0.9746835443037974,0.930379746835443,0.8607594936708861,0.8990899315614068,mask_on,150
spatial_thin_150_cap60,158,0.1140375523954382,0.154621901082155,52.92230820712405,46.7481119516398,0.981012658227848,0.9367088607594936,0.879746835443038,0.8934392845839134,mask_on,150
spatial_thin_250_cap60,158,0.1167085970639648,0.1740694306427836,58.64907309044199,43.3008180356974,0.9620253164556962,0.9050632911392406,0.8417721518987342,0.8731397954979496,mask_on,150
spatial_thin_300_cap60,158,0.1219669967266445,0.1734971726620189,56.74926831396584,35.66616739908648,0.9556962025316456,0.8607594936708861,0.810126582278481,0.8756023167585671,mask_on,150
random_40,158,0.1268045226619837,0.1880803237679091,29.885104690473227,22.57724661772364,0.9240506329113924,0.8227848101265823,0.4936708860759494,0.907409494672328,mask_on,150
random_200,158,0.0613585879913992,0.0865672385789024,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.911549473666218,mask_on,300
fscs_200,158,0.0613585879913992,0.0865672385789024,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.911549473666218,mask_on,300
fscs_150,158,0.0700166251655601,0.0952498976055073,32.55212656721666,17.025291427513757,0.8481012658227848,0.689873417721519,0.5506329113924051,0.9096159799617246,mask_on,300
feature_diverse_150,158,0.0701831274791699,0.0919820477303013,34.97249320845167,19.124602612375497,0.8544303797468354,0.7278481012658228,0.5759493670886076,0.901499204852962,mask_on,300
random_150,158,0.0702951648529227,0.1004998572671579,31.79431171751685,16.72847552545519,0.8481012658227848,0.689873417721519,0.5443037974683544,0.9108836231772536,mask_on,300
spatial_thin_100_cap150,158,0.0769361708542232,0.1117160647250039,37.93053205842715,20.49958528896484,0.9240506329113924,0.7658227848101266,0.6392405063291139,0.8943835089609735,mask_on,300
spatial_thin_150_cap150,158,0.0797106283120583,0.1217480517719768,39.64040571086989,22.51776542562213,0.930379746835443,0.7974683544303798,0.6582278481012658,0.8856663716780996,mask_on,300
hybrid_150_diverse_150,158,0.0802592779149891,0.1192233345828167,39.60815484449454,23.18407114082634,0.9430379746835444,0.7974683544303798,0.6582278481012658,0.8854912269930878,mask_on,300
fscs_100,158,0.0832791317387579,0.1135553550315967,28.590914570316396,16.717219454655467,0.8417721518987342,0.6645569620253164,0.4683544303797468,0.9105407106232976,mask_on,300
feature_diverse_100,158,0.0839484150031989,0.1086519720908783,31.8030967519078,18.848209701415648,0.8670886075949367,0.7215189873417721,0.5379746835443038,0.8834284049030604,mask_on,300
spatial_thin_100_cap100,158,0.0849462518074113,0.1231650891418541,33.406436329728805,20.4214784067966,0.9177215189873418,0.7531645569620253,0.6075949367088608,0.8992062332869402,mask_on,300
random_100,158,0.0855092167471372,0.1245441592893836,28.567527353122088,15.74172923140274,0.8417721518987342,0.6645569620253164,0.4683544303797468,0.9088280283608396,mask_on,300
spatial_thin_150_cap100,158,0.0876913542513127,0.1368873778507175,37.80016281293554,22.97551194190897,0.930379746835443,0.8037974683544303,0.6518987341772152,0.8931102303783371,mask_on,300
hybrid_150_diverse_100,158,0.091407696603029,0.130706214497778,38.87088756724667,22.992262827318463,0.9367088607594936,0.8037974683544303,0.6582278481012658,0.8739789111143744,mask_on,300
spatial_thin_250_cap150,158,0.1010085738507609,0.1491037878245587,43.19405402719356,25.06932714859682,0.9430379746835444,0.8291139240506329,0.6708860759493671,0.874452229439892,mask_on,300
spatial_thin_250_cap100,158,0.1016305848206211,0.1584505000539897,42.30034905002027,25.156169461451466,0.9430379746835444,0.8227848101265823,0.6772151898734177,0.8757413070281544,mask_on,300
hybrid_300_diverse_100,158,0.1076694772023836,0.1626020498449283,42.23915040820731,24.3679571337868,0.9430379746835444,0.8227848101265823,0.6708860759493671,0.8667634418718433,mask_on,300
spatial_thin_300_cap100,158,0.1077286285200846,0.161134532710662,41.94661945090547,25.87600005697472,0.9367088607594936,0.8164556962025317,0.6645569620253164,0.86895871597886,mask_on,300
feature_diverse_60,158,0.1081188045956844,0.1392323428292981,26.779215272974945,17.422616327923706,0.8734177215189873,0.689873417721519,0.4240506329113924,0.8600799484591145,mask_on,300
fscs_60,158,0.1082607321983511,0.1553461453852142,25.13082402194759,14.382080063295591,0.8291139240506329,0.6455696202531646,0.3291139240506329,0.905198652726593,mask_on,300
spatial_thin_300_cap150,158,0.1102880985593301,0.1621707140678599,41.62773320795,25.21227235082652,0.9430379746835444,0.8227848101265823,0.6772151898734177,0.868126491864098,mask_on,300
hybrid_300_diverse_150,158,0.1102880985593301,0.1621707140678599,41.62773320795,25.21227235082652,0.9430379746835444,0.8227848101265823,0.6772151898734177,0.868126491864098,mask_on,300
random_60,158,0.1103287720147761,0.1494532806711442,24.48544538394039,13.729878121566548,0.8227848101265823,0.6265822784810127,0.3227848101265823,0.9102728262030656,mask_on,300
spatial_thin_100_cap60,158,0.1121217772250428,0.1543458158993083,27.75819633295234,18.64623874363963,0.9177215189873418,0.7215189873417721,0.4240506329113924,0.8990899315614068,mask_on,300
spatial_thin_150_cap60,158,0.1140375523954382,0.154621901082155,31.18115399129317,21.024164049936097,0.930379746835443,0.7784810126582279,0.5316455696202531,0.8934392845839134,mask_on,300
spatial_thin_250_cap60,158,0.1167085970639648,0.1740694306427836,38.18005589075274,25.66795201599716,0.9430379746835444,0.8164556962025317,0.6582278481012658,0.8731397954979496,mask_on,300
spatial_thin_300_cap60,158,0.1219669967266445,0.1734971726620189,41.28247498306911,25.145912580540944,0.9430379746835444,0.8227848101265823,0.6772151898734177,0.8756023167585671,mask_on,300
random_40,158,0.1268045226619837,0.1880803237679091,20.042962783716447,12.826824774319087,0.8164556962025317,0.5063291139240507,0.0126582278481012,0.907409494672328,mask_on,300
random_200,158,0.0613585879913992,0.0865672385789024,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.0569620253164556,0.911549473666218,mask_on,500
fscs_200,158,0.0613585879913992,0.0865672385789024,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.0569620253164556,0.911549473666218,mask_on,500
fscs_150,158,0.0700166251655601,0.0952498976055073,16.491132545323058,8.405349901443259,0.7088607594936709,0.3544303797468354,0.0253164556962025,0.9096159799617246,mask_on,500
feature_diverse_150,158,0.0701831274791699,0.0919820477303013,17.467408700268862,8.87299953514873,0.7278481012658228,0.4113924050632911,0.0443037974683544,0.901499204852962,mask_on,500
random_150,158,0.0702951648529227,0.1004998572671579,16.828087683187153,8.286452058014934,0.7088607594936709,0.3481012658227848,0.0189873417721519,0.9108836231772536,mask_on,500
spatial_thin_100_cap150,158,0.0769361708542232,0.1117160647250039,19.052821880800597,10.05954389423528,0.7531645569620253,0.4367088607594936,0.0632911392405063,0.8943835089609735,mask_on,500
spatial_thin_150_cap150,158,0.0797106283120583,0.1217480517719768,19.67724838807916,11.20667384663676,0.7721518987341772,0.4873417721518987,0.1139240506329113,0.8856663716780996,mask_on,500
hybrid_150_diverse_150,158,0.0802592779149891,0.1192233345828167,19.840043920353075,11.075649822877436,0.7721518987341772,0.4936708860759494,0.1139240506329113,0.8854912269930878,mask_on,500
fscs_100,158,0.0832791317387579,0.1135553550315967,15.73391409117974,8.467912927820027,0.7088607594936709,0.3227848101265823,0.0126582278481012,0.9105407106232976,mask_on,500
feature_diverse_100,158,0.0839484150031989,0.1086519720908783,16.912674251172863,9.533608124313188,0.7341772151898734,0.4113924050632911,0.0189873417721519,0.8834284049030604,mask_on,500
spatial_thin_100_cap100,158,0.0849462518074113,0.1231650891418541,17.57041633774326,10.53279038198352,0.759493670886076,0.3987341772151899,0.0189873417721519,0.8992062332869402,mask_on,500
random_100,158,0.0855092167471372,0.1245441592893836,16.129429640843977,7.923112010478551,0.7088607594936709,0.3164556962025316,0.0126582278481012,0.9088280283608396,mask_on,500
spatial_thin_150_cap100,158,0.0876913542513127,0.1368873778507175,19.35246499466845,11.364990006349254,0.7784810126582279,0.4556962025316455,0.0316455696202531,0.8931102303783371,mask_on,500
hybrid_150_diverse_100,158,0.091407696603029,0.130706214497778,19.825958151996343,10.98556324628406,0.7784810126582279,0.4936708860759494,0.0696202531645569,0.8739789111143744,mask_on,500
spatial_thin_250_cap150,158,0.1010085738507609,0.1491037878245587,21.352791998418557,12.456551036958716,0.8417721518987342,0.5569620253164557,0.1962025316455696,0.874452229439892,mask_on,500
spatial_thin_250_cap100,158,0.1016305848206211,0.1584505000539897,21.60024845820389,12.319071243843268,0.8291139240506329,0.5632911392405063,0.2341772151898734,0.8757413070281544,mask_on,500
hybrid_300_diverse_100,158,0.1076694772023836,0.1626020498449283,21.90358893092983,13.016914387252344,0.8354430379746836,0.5759493670886076,0.2531645569620253,0.8667634418718433,mask_on,500
spatial_thin_300_cap100,158,0.1077286285200846,0.161134532710662,21.906447523978443,12.982994893379132,0.8417721518987342,0.569620253164557,0.2531645569620253,0.86895871597886,mask_on,500
feature_diverse_60,158,0.1081188045956844,0.1392323428292981,15.397820509442363,9.679966874781844,0.7341772151898734,0.2658227848101265,0.0,0.8600799484591145,mask_on,500
fscs_60,158,0.1082607321983511,0.1553461453852142,14.61289235415136,8.068037071716512,0.6962025316455697,0.2278481012658227,0.0,0.905198652726593,mask_on,500
spatial_thin_300_cap150,158,0.1102880985593301,0.1621707140678599,21.766382913803337,13.186224724197842,0.8417721518987342,0.569620253164557,0.2594936708860759,0.868126491864098,mask_on,500
hybrid_300_diverse_150,158,0.1102880985593301,0.1621707140678599,21.766382913803337,13.186224724197842,0.8417721518987342,0.569620253164557,0.2594936708860759,0.868126491864098,mask_on,500
random_60,158,0.1103287720147761,0.1494532806711442,14.43823046943001,7.627640593516582,0.6835443037974683,0.2025316455696202,0.0,0.9102728262030656,mask_on,500
