strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss,mask,corr_range_m
spatial_thin_100_cap150,158,0.0672572878867041,0.1469860987413963,37.60743555783766,20.8280113701631,0.9113924050632912,0.7784810126582279,0.6392405063291139,0.8937517280774202,0,0.0666969076518887,33.92486461549285,0.5051212867520996,90,0.0711648104064955,41.57568128993031,0.4572607534706994,68,off,300
spatial_thin_150_cap150,158,0.0727377157722157,0.1640459210500058,39.7904785978388,22.92466256699381,0.9367088607594936,0.7974683544303798,0.6518987341772152,0.884846876951249,0,0.0702540828144962,36.57789575407909,0.4956779676795293,90,0.0747661875956942,45.29007337840167,0.4675476920184283,68,off,300
fscs_100,158,0.0742464896347869,0.1440621548218429,29.317505774533927,15.88763811246735,0.8481012658227848,0.6962025316455697,0.4810126582278481,0.9086724323025156,0,0.0718145397021643,26.71197155914983,0.511290135045423,90,0.0760278527257512,33.188926177515135,0.4562723049334212,68,off,300
feature_diverse_100,158,0.0749984489455224,0.1145637574808633,31.625022041018603,19.25717405787432,0.8734177215189873,0.7278481012658228,0.569620253164557,0.8825533247876943,0,0.0723422218882359,28.72961861589866,0.523163311271613,90,0.0769484491761998,37.35569228516073,0.432789685640662,68,off,300
hybrid_150_diverse_150,158,0.0751474307871888,0.1420134804867687,40.15366185325065,22.46996257439177,0.9367088607594936,0.8037974683544303,0.6645569620253164,0.8829381639886945,0,0.0724432526739826,36.17421167886968,0.4940993940100117,90,0.0778246244957673,45.13767055029972,0.4674282333300728,68,off,300
random_100,158,0.0765421088118953,0.1329065649690714,28.62492381601922,15.899444731528543,0.8354430379746836,0.6645569620253164,0.4620253164556962,0.910115009613844,0,0.0728638003282075,26.62793382827999,0.5184066198758264,90,0.0789213181550059,31.787334027177188,0.4605589112836958,68,off,300
spatial_thin_100_cap100,158,0.0791478881163683,0.1684233883472892,33.460888831128464,20.30362333120832,0.9177215189873418,0.7658227848101266,0.6075949367088608,0.8975729381685644,0,0.0756254182911693,31.40280382229537,0.507519582571136,90,0.0836534179869251,37.66596872249997,0.4525079448710727,68,off,300
spatial_thin_150_cap100,158,0.0796603496673361,0.1659160048866887,37.83735557462391,22.578492447393703,0.930379746835443,0.8037974683544303,0.6518987341772152,0.8893189018956285,0,0.0777039792549654,35.119896642883106,0.5031969134199487,90,0.0847985483359254,42.84147178778496,0.4548781477142866,68,off,300
hybrid_150_diverse_100,158,0.0815526926944346,0.1520953291789657,39.12133732943983,22.884609701002443,0.930379746835443,0.7974683544303798,0.6582278481012658,0.8721694753851359,0,0.0812802681293004,35.80007186702511,0.5177690878109618,90,0.0822384334242129,43.97811138186751,0.4476887818344415,68,off,300
spatial_thin_250_cap150,158,0.0864901494460211,0.1665017577631461,42.47533908616749,24.93331139263045,0.9430379746835444,0.8164556962025317,0.6708860759493671,0.873857246681909,0,0.0884032328620327,37.537662421465775,0.5129986396657482,90,0.0820150468458534,47.58339489219537,0.464451330799669,68,off,300
spatial_thin_250_cap100,158,0.0888033290261697,0.1943207760591623,42.22088488188568,25.117988113509647,0.9430379746835444,0.8227848101265823,0.6772151898734177,0.8716188811476444,0,0.0916133067057523,37.37324420749366,0.5056710881820008,90,0.0834965792810925,47.37535585967287,0.4733611669338727,68,off,300
hybrid_300_diverse_100,158,0.0938442182368973,0.2099184208258268,41.37406686158539,24.304588690704428,0.9430379746835444,0.8227848101265823,0.6772151898734177,0.8675978918747844,0,0.0958068440171638,37.8495477749199,0.5072736749317799,90,0.0922379220671597,47.1428016859268,0.4714711911301517,68,off,300
spatial_thin_300_cap150,158,0.0947444908900968,0.1914886474694799,41.880810615957856,24.597876377388467,0.9430379746835444,0.810126582278481,0.6772151898734177,0.8668976321217757,0,0.095858061462946,38.08876415675137,0.4994335531705359,90,0.0927802354583744,46.9479742939787,0.4629844348369344,68,off,300
hybrid_300_diverse_150,158,0.0947444908900968,0.1914886474694799,41.880810615957856,24.597876377388467,0.9430379746835444,0.810126582278481,0.6772151898734177,0.8668976321217757,0,0.095858061462946,38.08876415675137,0.4994335531705359,90,0.0927802354583744,46.9479742939787,0.4629844348369344,68,off,300
random_60,158,0.0952679176484161,0.167932149806251,24.07216926713692,14.459976764975,0.8291139240506329,0.6392405063291139,0.3164556962025316,0.9082836172977976,0,0.0914371658106063,22.298269653614533,0.5085299383446993,90,0.107238407332787,25.987616397888743,0.4757778366279787,68,off,300
feature_diverse_60,158,0.0976299763300215,0.149576268071423,26.24887356067554,16.86226335169545,0.8734177215189873,0.689873417721519,0.3987341772151899,0.8595951392227029,0,0.0969027437413389,23.581870418080825,0.516359925436398,90,0.1004416902422711,29.306196101262465,0.3952418408476993,68,off,300
spatial_thin_300_cap100,158,0.0978538798988785,0.1945871638278034,41.74432668627595,24.834336046954583,0.9430379746835444,0.8164556962025317,0.6582278481012658,0.8694109073352794,0,0.0978538798988785,37.61164657771542,0.5112857204761512,90,0.0972497696297612,47.02001518407069,0.4592003306783507,68,off,300
fscs_60,158,0.0986376707960443,0.1937066512987701,25.45267291475232,14.359393029200769,0.8417721518987342,0.6518987341772152,0.3734177215189873,0.9030538531040252,0,0.0971251737660312,23.02671307165938,0.5298571397238825,90,0.1007373202600597,26.965878714400883,0.4537167461906912,68,off,300
spatial_thin_250_cap60,158,0.1021329132007684,0.2074869692742328,37.82879170139324,25.069926614261384,0.9493670886075948,0.8227848101265823,0.6708860759493671,0.8821996239707228,0,0.100120527991545,36.23838207272564,0.5115726178666149,90,0.106727488485065,40.21318813317273,0.4584333445640922,68,off,300
spatial_thin_150_cap60,158,0.1032651421323127,0.1971641671038644,30.479055424095208,21.26181161801441,0.9367088607594936,0.7848101265822784,0.5189873417721519,0.8909446104343829,0,0.1038347957582622,29.001163658505103,0.4968656027990603,90,0.102622646463925,33.173990950043446,0.458562186696528,68,off,300
