parent_id,parent_label,probe_state,fold,med_cos_all,med_eucl_all,med_cos_k5,med_eucl_k5,mean_cos_k5,mean_eucl_k5
00000000000000000085,built_loss,bad,2,0.25885641160918343,0.37142326119512487,0.20692105883043732,0.33778688579572513,0.21123337823046542,0.34136063209069334
00000000000000000085,built_loss,bad,2,0.2916703289720824,0.39031438715176364,0.3170575023393859,0.4050304204280974,0.310356297967184,0.4010810380959233
00000000000000000085,built_loss,bad,2,0.48297384343285626,0.4917198329547372,0.5490777839735166,0.5247465712776582,0.5560496812451394,0.531599523335626
00000000000000000085,built_loss,bad,2,0.3656468509785706,0.4319755650200896,0.3188893210414254,0.4059876893069929,0.3279364261887194,0.4118615246524517
00000000000000000085,built_loss,bad,2,0.37766462813712737,0.43787107093208233,0.36790100669457615,0.43259922637072823,0.37112796632357287,0.435073612156486
00000000000000000085,built_loss,bad,2,0.35901145401406814,0.4278547263674351,0.32547139437439093,0.40959758713775196,0.3210516147806794,0.4077737654085206
00000000000000000085,built_loss,bad,2,0.3400925466851061,0.41758276145795825,0.3862647314918903,0.4423925291048754,0.3872919240920707,0.44294397950225606
00000000000000000085,built_loss,bad,2,0.30011655195083853,0.39554079064197617,0.334029900828958,0.41440187938984613,0.29160988844152474,0.38237291880132723
00000000000000000085,built_loss,good,3,0.5049892161714561,0.5020047379871085,0.6398922073037863,0.5717681107878887,0.6277424762425552,0.566717549808345
00000000000000000085,built_loss,good,3,0.3197096645604875,0.40658773732836734,0.3041143767131559,0.39843603192764193,0.2861640810534513,0.38714773735101893
00000000000000000085,built_loss,good,3,0.36678788663209116,0.432207367327392,0.27827952184534355,0.38314144751325413,0.23626986949020748,0.34803376767359545
00000000000000000085,built_loss,good,3,0.52018071105124,0.5102122454311011,0.7468086631496439,0.6324734035796666,0.7545024262847367,0.6405312513190939
00000000000000000085,built_loss,good,3,0.5194371805055218,0.50957005920158,0.48659366878456595,0.49373701547686627,0.5077412283737159,0.5019497187157596
00000000000000000085,built_loss,good,3,0.5059303241571791,0.502963917957229,0.5189015467868633,0.5092329082477935,0.5186302466064625,0.5101273215639651
00000000000000000085,built_loss,good,3,0.49953942819747166,0.49970308000854446,0.7118307952582555,0.6107861697497238,0.7192283252807243,0.6153173501872596
00000000000000000085,built_loss,good,3,0.5530219101932413,0.5264086810464244,0.5375341404450573,0.518443308268303,0.5635572425204997,0.5300061221095728
00000000000000000085,built_loss,good,3,0.5430976050472137,0.5217835869303303,0.6048113116113745,0.5531041737063496,0.5971971770021713,0.5495796754441935
00000000000000000085,built_loss,good,3,0.3214903484449498,0.4075050621846251,0.4277404380435299,0.46338196714893665,0.40704471047266727,0.45347031468193455
00000000000000000085,built_loss,good,3,0.5084606844988475,0.5041308049077328,0.8317985548484228,0.690392135765876,0.7915996280367616,0.6644251390264847
00000000000000000085,built_loss,good,3,0.5113818945651557,0.5057774037277137,0.8299218175912684,0.6880375020536794,0.8391023434168379,0.6970893346284646
00000000000000000085,built_loss,good,3,0.3781584921674469,0.43777057171202427,0.43446348031094084,0.4674142775516997,0.45693741402244276,0.47904671531921783
00000000000000000085,built_loss,good,3,0.3605881675921963,0.42904196886209806,0.2947659920754366,0.3926946189974098,0.29430550977250874,0.39225955916909955
