parent_id,parent_label,dor_median_v2,category_v2,dor_knn,dor_median_v3,category_knn,category_median,dor_change,changed
00000000000000000192,crop_loss,0.5633278845993202,recovering,0.5313023035304535,0.5633278845993202,indistinguishable,recovering,-0.03202558106886666,True
00000000000000000196,crop_loss,0.2438537879987322,degraded,0.423522585111176,0.2438537879987322,degraded,degraded,0.17966879711244382,False
000000000000000001a6,crop_loss,0.2722528888927655,degraded,0.3072940194944921,0.2722528888927655,degraded,degraded,0.03504113060172659,False
000000000000000001e4,crop_loss,0.4913037704735231,indistinguishable,0.5764893673575271,0.4913037704735231,indistinguishable,indistinguishable,0.08518559688400401,False
000000000000000001f9,crop_loss,0.6664625013811083,indistinguishable,0.6229329738829119,0.6664625013811083,recovering,indistinguishable,-0.043529527498196385,True
00000000000000000228,crop_loss,0.5198097367504713,indistinguishable,0.5799148221998032,0.5198097367504713,indistinguishable,indistinguishable,0.06010508544933191,False
00000000000000000281,crop_loss,0.5176650907595726,indistinguishable,0.5066440967184374,0.5176650907595726,indistinguishable,indistinguishable,-0.011020994041135213,False
0000000000000000028c,crop_loss,0.3104154821610825,degraded,0.5642265920922445,0.3104154821610825,indistinguishable,degraded,0.25381110993116196,True
0000000000000000028d,crop_loss,0.6692487482339626,recovering,0.6017424818492959,0.6692487482339626,recovering,recovering,-0.06750626638466672,False
00000000000000000291,crop_loss,0.8818759387456236,recovering,0.754153680162847,0.8818759387456236,recovering,recovering,-0.12772225858277664,False
000000000000000002c5,crop_loss,0.3441023383401047,degraded,0.3734532632738412,0.3441023383401047,degraded,degraded,0.029350924933736533,False
000000000000000002cc,crop_loss,0.4563905792626592,indistinguishable,0.3633666483224115,0.4563905792626592,degraded,indistinguishable,-0.09302393094024769,True
000000000000000002dc,crop_loss,0.651471001951427,recovering,0.4785765492005736,0.651471001951427,indistinguishable,recovering,-0.17289445275085347,True
000000000000000002e4,crop_loss,0.3215288910092207,degraded,0.4441660833037061,0.3215288910092207,degraded,degraded,0.12263719229448539,False
000000000000000002ec,crop_loss,0.5167196172342085,indistinguishable,0.4697102057912404,0.5167196172342085,indistinguishable,indistinguishable,-0.04700941144296805,False
00000000000000000314,crop_loss,0.096140839939907,degraded,0.2809376040817673,0.096140839939907,degraded,degraded,0.1847967641418603,False
00000000000000000335,crop_loss,0.4512135685041144,degraded,0.4686371536947968,0.4512135685041144,indistinguishable,degraded,0.017423585190682378,True
0000000000000000033a,crop_loss,0.530596993006267,indistinguishable,0.506106152231884,0.530596993006267,indistinguishable,indistinguishable,-0.024490840774382905,False
000000000000000003a2,crop_loss,0.3318222738535446,degraded,0.5186296104258252,0.3318222738535446,indistinguishable,degraded,0.1868073365722806,True
000000000000000003b0,crop_loss,0.2272068301840649,degraded,0.4144457498543223,0.2272068301840649,indistinguishable,degraded,0.1872389196702574,True
000000000000000003c7,crop_loss,0.712501564649952,recovering,0.6474031793080017,0.712501564649952,recovering,recovering,-0.06509838534195023,False
000000000000000003c8,crop_loss,0.197128335650362,degraded,0.0544951152808757,0.197128335650362,degraded,degraded,-0.1426332203694863,False
000000000000000003f1,crop_loss,0.4784585813400513,indistinguishable,0.5860399674605622,0.4784585813400513,recovering,indistinguishable,0.10758138612051088,True
000000000000000003f2,crop_loss,0.4900789039231681,indistinguishable,0.4158972088435276,0.4900789039231681,indistinguishable,indistinguishable,-0.07418169507964051,False
0000000000000000044b,crop_loss,0.5772634636816566,recovering,0.6251023301736792,0.5772634636816566,recovering,recovering,0.047838866492022625,False
0000000000000000046c,crop_loss,0.5108820253407497,indistinguishable,0.4075616069570841,0.5108820253407497,indistinguishable,indistinguishable,-0.10332041838366557,False
00000000000000000480,crop_loss,0.8647773557856236,recovering,0.93613339071713,0.8647773557856236,recovering,recovering,0.07135603493150633,False
00000000000000000483,crop_loss,0.7528212781559955,recovering,0.6416365354649404,0.7528212781559955,indistinguishable,recovering,-0.11118474269105516,True
00000000000000000485,crop_loss,0.7024702721367897,recovering,0.6569816350233952,0.7024702721367897,recovering,recovering,-0.04548863711339446,False
00000000000000000497,crop_loss,0.2344446290200766,degraded,0.2319357177662298,0.2344446290200766,degraded,degraded,-0.0025089112538468072,False
0000000000000000049b,crop_loss,0.362081465925387,degraded,0.3677001255609012,0.362081465925387,degraded,degraded,0.005618659635514223,False
000000000000000004a1,crop_loss,0.3478135502672949,degraded,0.4513566995947025,0.3478135502672949,indistinguishable,degraded,0.1035431493274076,True
000000000000000004e7,crop_loss,0.4975443203869253,indistinguishable,0.4371158102182063,0.4975443203869253,indistinguishable,indistinguishable,-0.06042851016871903,False
000000000000000004e9,crop_loss,0.3313860559037743,degraded,0.3752017214585443,0.3313860559037743,indistinguishable,degraded,0.04381566555477001,True
000000000000000004ee,crop_loss,0.3888558730030298,degraded,0.5219677525501357,0.3888558730030298,indistinguishable,degraded,0.1331118795471059,True
000000000000000004f9,crop_loss,0.3606658132286198,degraded,0.4156811346849212,0.3606658132286198,degraded,degraded,0.05501532145630139,False
00000000000000000517,crop_loss,0.3038921327233812,degraded,0.8137456068248784,0.3038921327233812,recovering,degraded,0.5098534741014972,True
00000000000000000538,crop_loss,0.3009064776636643,degraded,0.4058626586478905,0.3009064776636643,indistinguishable,degraded,0.10495618098422621,True
0000000000000000057e,crop_loss,0.5385314487264147,recovering,0.5388153614883552,0.5385314487264147,indistinguishable,recovering,0.00028391276194050796,True
000000000000000005d1,crop_loss,0.1425481925196721,degraded,0.4292514020892353,0.1425481925196721,indistinguishable,degraded,0.2867032095695632,True
00000000000000000611,crop_loss,0.6635260058662016,recovering,0.7503929069700871,0.6635260058662016,recovering,recovering,0.08686690110388551,False
0000000000000000062f,crop_loss,0.4504569542577955,indistinguishable,0.5192499103245092,0.4504569542577955,indistinguishable,indistinguishable,0.06879295606671365,False
