deadband_halfwidth,delta,knn_k,probe_state,step,n,true_rate,error_rate,abstain_rate
0.05,0.03,5,bad,step2_deadband,15800,0.7553797468354431,0.07221518987341773,0.17240506329113925
0.05,0.03,5,bad,step3_deadband_effect,15800,0.6776582278481013,0.047341772151898734,0.275
0.05,0.03,5,bad,step4_knn,15800,0.5403164556962026,0.006962025316455696,0.45272151898734175
0.05,0.05,5,good,step2_deadband,15800,0.7063291139240506,0.10563291139240506,0.1880379746835443
0.05,0.05,5,good,step3_deadband_effect,15800,0.550506329113924,0.06151898734177215,0.3879746835443038
0.05,0.05,5,good,step4_knn,15800,0.4700632911392405,0.008924050632911393,0.5210126582278481
0.05,0.05,5,bad,step2_deadband,15800,0.7553797468354431,0.07221518987341773,0.17240506329113925
0.05,0.05,5,bad,step3_deadband_effect,15800,0.6220253164556963,0.0340506329113924,0.34392405063291137
0.05,0.05,5,bad,step4_knn,15800,0.4520886075949367,0.003291139240506329,0.544620253164557
0.08,0.0,5,good,step2_deadband,15800,0.6115822784810127,0.07563291139240506,0.31278481012658227
0.08,0.0,5,good,step3_deadband_effect,15800,0.6115822784810127,0.07563291139240506,0.31278481012658227
0.08,0.0,5,good,step4_knn,15800,0.5483544303797468,0.015569620253164556,0.4360759493670886
0.08,0.0,5,bad,step2_deadband,15800,0.6776582278481013,0.047341772151898734,0.275
0.08,0.0,5,bad,step3_deadband_effect,15800,0.6776582278481013,0.047341772151898734,0.275
0.08,0.0,5,bad,step4_knn,15800,0.5403164556962026,0.006962025316455696,0.45272151898734175
0.08,0.02,5,good,step2_deadband,15800,0.6115822784810127,0.07563291139240506,0.31278481012658227
0.08,0.02,5,good,step3_deadband_effect,15800,0.550506329113924,0.06151898734177215,0.3879746835443038
0.08,0.02,5,good,step4_knn,15800,0.4700632911392405,0.008924050632911393,0.5210126582278481
0.08,0.02,5,bad,step2_deadband,15800,0.6776582278481013,0.047341772151898734,0.275
0.08,0.02,5,bad,step3_deadband_effect,15800,0.6220253164556963,0.0340506329113924,0.34392405063291137
0.08,0.02,5,bad,step4_knn,15800,0.4520886075949367,0.003291139240506329,0.544620253164557
0.08,0.03,5,good,step2_deadband,15800,0.6115822784810127,0.07563291139240506,0.31278481012658227
0.08,0.03,5,good,step3_deadband_effect,15800,0.52,0.05481012658227848,0.4251898734177215
0.08,0.03,5,good,step4_knn,15800,0.43227848101265826,0.006645569620253164,0.5610759493670886
0.08,0.03,5,bad,step2_deadband,15800,0.6776582278481013,0.047341772151898734,0.275
0.08,0.03,5,bad,step3_deadband_effect,15800,0.5908227848101266,0.028670886075949368,0.38050632911392407
0.08,0.03,5,bad,step4_knn,15800,0.41056962025316457,0.002658227848101266,0.5867721518987342
0.08,0.05,5,good,step2_deadband,15800,0.6115822784810127,0.07563291139240506,0.31278481012658227
0.08,0.05,5,good,step3_deadband_effect,15800,0.46031645569620255,0.042468354430379746,0.49721518987341773
0.08,0.05,5,good,step4_knn,15800,0.3619620253164557,0.0037341772151898733,0.6343037974683544
0.08,0.05,5,bad,step2_deadband,15800,0.6776582278481013,0.047341772151898734,0.275
0.08,0.05,5,bad,step3_deadband_effect,15800,0.5275949367088607,0.02088607594936709,0.45151898734177215
0.08,0.05,5,bad,step4_knn,15800,0.3371518987341772,0.0018987341772151898,0.6609493670886076
0.12,0.0,5,good,step2_deadband,15800,0.4899367088607595,0.048734177215189876,0.4613291139240506
0.12,0.0,5,good,step3_deadband_effect,15800,0.4899367088607595,0.048734177215189876,0.4613291139240506
0.12,0.0,5,good,step4_knn,15800,0.395253164556962,0.004936708860759494,0.5998101265822785
0.12,0.0,5,bad,step2_deadband,15800,0.5611392405063291,0.024936708860759493,0.4139240506329114
0.12,0.0,5,bad,step3_deadband_effect,15800,0.5611392405063291,0.024936708860759493,0.4139240506329114
0.12,0.0,5,bad,step4_knn,15800,0.37132911392405066,0.0023417721518987343,0.6263291139240507
0.12,0.02,5,good,step2_deadband,15800,0.4899367088607595,0.048734177215189876,0.4613291139240506
0.12,0.02,5,good,step3_deadband_effect,15800,0.4310759493670886,0.03810126582278481,0.5308227848101266
0.12,0.02,5,good,step4_knn,15800,0.3284810126582278,0.0029746835443037974,0.6685443037974683
0.12,0.02,5,bad,step2_deadband,15800,0.5611392405063291,0.024936708860759493,0.4139240506329114
0.12,0.02,5,bad,step3_deadband_effect,15800,0.4982278481012658,0.01810126582278481,0.4836708860759494
0.12,0.02,5,bad,step4_knn,15800,0.30550632911392406,0.0012658227848101266,0.6932278481012658
0.12,0.03,5,good,step2_deadband,15800,0.4899367088607595,0.048734177215189876,0.4613291139240506
0.12,0.03,5,good,step3_deadband_effect,15800,0.40164556962025316,0.03322784810126582,0.565126582278481
0.12,0.03,5,good,step4_knn,15800,0.2975949367088608,0.0019620253164556963,0.7004430379746835
0.12,0.03,5,bad,step2_deadband,15800,0.5611392405063291,0.024936708860759493,0.4139240506329114
0.12,0.03,5,bad,step3_deadband_effect,15800,0.46462025316455696,0.015316455696202531,0.5200632911392405
0.12,0.03,5,bad,step4_knn,15800,0.2720253164556962,0.0008227848101265823,0.7271518987341772
0.12,0.05,5,good,step2_deadband,15800,0.4899367088607595,0.048734177215189876,0.4613291139240506
0.12,0.05,5,good,step3_deadband_effect,15800,0.3451898734177215,0.025063291139240506,0.629746835443038
0.12,0.05,5,good,step4_knn,15800,0.24158227848101266,0.0008860759493670886,0.7575316455696203
0.12,0.05,5,bad,step2_deadband,15800,0.5611392405063291,0.024936708860759493,0.4139240506329114
0.12,0.05,5,bad,step3_deadband_effect,15800,0.4,0.011075949367088608,0.5889240506329114
0.12,0.05,5,bad,step4_knn,15800,0.21430379746835443,0.00037974683544303797,0.7853164556962026
