parent_id,parent_label_v1,applicable_v1,dor_median_v1,dor_median_ci_low_v1,dor_median_ci_high_v1,n_eff_min_v1,parent_label_v2,applicable_v2,dor_median_v2,dor_median_ci_low_v2,dor_median_ci_high_v2,n_eff_min_v2,dor_delta_v2_minus_v1,n_eff_min_delta_v2_minus_v1,category_v1,category_v2,category_changed
00000000000000000085,built_loss,True,0.3766111884104044,0.3431811418844626,0.4212591648633297,7.741945356198363,built_loss,True,0.3935463838584332,0.328852284854447,0.4356071128115694,1.1017389071513417,0.016935195448028795,-6.640206449047021,degraded,degraded,False
00000000000000000087,built_loss,True,0.4280542312480618,0.353175051790666,0.5424907583540852,6.701942809799698,built_loss,True,0.5266498190547633,0.4865734587342748,0.6078289539494415,1.3205556467564168,0.09859558780670147,-5.381387163043281,indistinguishable,indistinguishable,False
0000000000000000009b,crop_loss,True,0.4762450769604351,0.4694756543157743,0.4837050560045323,4.500261999106015,crop_loss,True,0.4928844914718775,0.4861761194471271,0.4984632776448209,1.2709378361546295,0.016639414511442407,-3.2293241629513854,degraded,degraded,False
0000000000000000009d,crop_loss,True,0.4935365397267887,0.4591307401696244,0.5271867484555731,3.0938323723791936,crop_loss,True,0.3740934465652373,0.324882703358971,0.4030259525342851,1.797608254438375,-0.11944309316155138,-1.2962241179408187,indistinguishable,degraded,True
000000000000000000a1,built_loss,True,0.5301505649797698,0.4985682530450672,0.5791400047567639,4.1051092710348565,built_loss,True,0.4493490161217572,0.4096633509233283,0.4649559513807705,1.1435028720302622,-0.08080154885801255,-2.9616063990045944,indistinguishable,degraded,True
000000000000000000a8,crop_loss,True,0.2264114030633893,0.212369342570169,0.2774452335840119,6.357775148688938,crop_loss,True,0.2038031154052213,0.1907588736220885,0.219576384462818,1.246400959063246,-0.022608287658167997,-5.111374189625692,degraded,degraded,False
000000000000000000b8,built_loss,True,0.4283827467173351,0.3301380881823535,0.4920336143114948,7.630129522592931,built_loss,True,0.5311818475002759,0.4170308017734788,0.5973638804025703,1.1839302622792127,0.10279910078294074,-6.446199260313718,degraded,indistinguishable,True
000000000000000000c0,built_loss,True,0.5093127764587461,0.4686143628051489,0.559344336169459,7.563968352159608,built_loss,True,0.6135637693591418,0.5595949698856848,0.6492664536537516,1.2627946862585446,0.10425099290039574,-6.3011736659010635,indistinguishable,recovering,True
000000000000000000da,crop_loss,True,0.8021866457826458,0.7436630169656289,0.8257173842724291,4.748346671286647,crop_loss,True,0.7736581409080185,0.7382663774092083,0.7958510967147441,3.179265595278596,-0.028528504874627214,-1.5690810760080511,recovering,recovering,False
000000000000000000e2,built_loss,True,0.4208231163058395,0.3649646777664362,0.4889465157116754,5.769560416166428,built_loss,True,0.3793295411885945,0.3402085592859747,0.4179454721040557,1.335372518702459,-0.041493575117244996,-4.434187897463969,degraded,degraded,False
000000000000000000e3,crop_loss,True,0.437937488155543,0.3460467569945515,0.4890907885079835,7.68286048137449,crop_loss,True,0.4798904113809524,0.4350665144784884,0.511662874103865,2.767021236180491,0.04195292322540939,-4.915839245193999,degraded,indistinguishable,True
000000000000000000e9,crop_loss,True,0.5697259856078545,0.5242363015189222,0.6084350778608768,4.516017326467643,crop_loss,True,0.4038850602527873,0.3511184192174922,0.467044608481684,1.0195811117726308,-0.16584092535506717,-3.496436214695012,recovering,degraded,True
000000000000000000f0,built_loss,True,0.728828644702759,0.6727019776240543,0.7781981883575144,7.176691259535885,built_loss,True,0.6679900963561605,0.617782457522292,0.7123174557543445,1.1755773968198655,-0.06083854834659852,-6.00111386271602,recovering,recovering,False
000000000000000000f8,built_loss,True,0.5803734809242685,0.5381998236640554,0.6200486851679283,9.466464155840717,built_loss,True,0.5584459640469653,0.5093134736419765,0.6048833254018688,1.349196828250684,-0.02192751687730321,-8.117267327590032,recovering,recovering,False
00000000000000000114,built_loss,True,0.6389758399332004,0.5825731963845865,0.6703631878087706,6.898347803816599,built_loss,True,0.6814796386966279,0.6390151315400547,0.7065453396492443,1.347553859744166,0.04250379876342747,-5.550793944072433,recovering,recovering,False
0000000000000000011b,crop_loss,True,0.4915521049600311,0.4698132194690758,0.5076334311941919,5.620489667649077,crop_loss,True,0.4579397245820312,0.4420303925960174,0.4805765209596091,1.270242001362064,-0.033612380377999906,-4.3502476662870135,indistinguishable,degraded,True
0000000000000000011c,built_loss,True,0.785435456905226,0.7649569935370466,0.8120017160082349,1.7768103680840115,built_loss,True,0.7250914899770797,0.7019714323361915,0.7440041363581144,2.382136415023483,-0.06034396692814625,0.6053260469394717,recovering,recovering,False
00000000000000000128,crop_loss,True,0.5209726323836148,0.5033533662743487,0.5386292435517813,5.035876516940915,crop_loss,True,0.5288331148962316,0.5148734765677488,0.5478960268273668,1.2185915606332776,0.00786048251261684,-3.8172849563076374,recovering,recovering,False
00000000000000000151,built_loss,True,0.1929122619948317,0.17132985876829,0.2108593495614742,1.7226084184248498,built_loss,True,0.2572199409406152,0.2401456679987443,0.2777897882722208,1.4193694473559286,0.06430767894578349,-0.30323897106892117,degraded,degraded,False
