parent_id,parent_label,dor,n_good,n_bad,n_blocks_good,n_blocks_bad,corr_range_m,ci_iid,ci_block,ci_ratio,lo_iid,hi_iid,lo_blk,hi_blk,cat_iid,cat_blk,category_changed
000000000000000002f3,stable_built,0.42580473967472293,100,100,4,2,4379.0,0.13450584459005543,0.1569849487277465,1.1671236235585336,0.3606620163829965,0.49516786097305193,0.3001681993609229,0.4571531480886694,indistinguishable,degraded,True
000000000000000002f5,stable_nature,0.39061402267537004,100,100,3,1,4379.0,0.23341628437314216,0.23724220870392781,1.0163909914899918,0.30737777095427193,0.5407940553274141,0.3018407051294218,0.5390829138333496,indistinguishable,indistinguishable,False
000000000000000002f6,stable_nature,0.4045238238062113,100,100,2,3,4379.0,0.15660762018923696,0.2388522556883565,1.5251636887128426,0.3353272135186997,0.49193483370793667,0.28541116533397154,0.524263421022328,indistinguishable,indistinguishable,False
000000000000000002f7,stable_nature,0.5527847948081377,100,100,1,2,4379.0,0.12905809790543138,0.11837523926126248,0.9172244220428781,0.4992683013940557,0.6283263992994871,0.5032179596580743,0.6215931989193367,recovering,recovering,False
000000000000000002f8,stable_nature,0.5657674290709278,100,100,2,3,4379.0,0.15623728198786646,0.2968747029369998,1.900152762258469,0.5015487480475794,0.6577860300354459,0.43308721043439724,0.729961913371397,recovering,indistinguishable,True
000000000000000002f9,stable_built,0.6630574572923381,100,100,3,4,4379.0,0.13697775407332702,0.32900211365803,2.401865294724488,0.5946580245819814,0.7316357786553084,0.5326440978842553,0.8616462115422853,recovering,recovering,False
000000000000000002fa,stable_nature,0.6210265018003157,100,100,3,2,4379.0,0.15202751507811996,0.2547119400057848,1.6754331600756613,0.5432676272585296,0.6952951423366496,0.4771038136302027,0.7318157536359875,recovering,indistinguishable,True
000000000000000002fb,stable_built,0.5510692428115909,100,100,3,1,4379.0,0.300836557653811,0.3038647238082619,1.0100658183901159,0.37435371233176895,0.67519026998558,0.3719789510767627,0.6758436748850246,indistinguishable,indistinguishable,False
000000000000000002fd,stable_built,0.3953302196289015,100,100,3,2,4379.0,0.18409367451509195,0.2136177124783655,1.160375081007214,0.2761091124913842,0.46020278700647615,0.21202874576704137,0.42564645824540687,degraded,degraded,False
000000000000000002fe,stable_nature,0.8299285498378483,100,100,2,3,4379.0,0.1441856909284226,0.20139065681418777,1.396745096669566,0.7520422042597459,0.8962278951881685,0.7244842824938561,0.9258749393080439,recovering,recovering,False
000000000000000002ff,stable_crop,0.39034921558010705,100,100,1,3,4379.0,0.1365627121903764,0.1386929463965153,1.0155989447776141,0.29957502837227995,0.43613774056265636,0.2979354857001502,0.4366284320966655,degraded,degraded,False
00000000000000000300,stable_built,0.371407982537086,100,100,3,2,4379.0,0.1622798256928989,0.09680885552724966,0.5965550869548775,0.27877261193048103,0.4410524376233799,0.3257729649076882,0.42258182043493786,degraded,degraded,False
00000000000000000301,stable_crop,0.22690638719835346,100,100,3,3,4379.0,0.12603401078461107,0.5367481979216424,4.258756779857871,0.1920609588565993,0.31809496964121037,0.16648293484965934,0.7032311327713018,degraded,indistinguishable,True
00000000000000000302,stable_crop,0.8324952869552573,100,100,2,3,4379.0,0.5835522196797518,0.5553520100528714,0.9516749166983609,0.32342022948302,0.9069724491627719,0.3766464199473587,0.9319984300002301,indistinguishable,indistinguishable,False
00000000000000000303,stable_nature,0.49831725287558676,100,99,2,2,4379.0,0.30675052141353293,0.44501358168718597,1.4507345566570675,0.3436010408826717,0.6503515622962046,0.25945287466264466,0.7044664563498306,indistinguishable,indistinguishable,False
00000000000000000304,stable_crop,0.15933642950218238,100,100,1,1,4379.0,0.23908264434436674,0.23686488178929269,0.9907238663803648,0.06304608486058852,0.30212872920495526,0.06317017003421108,0.30003505182350376,degraded,degraded,False
00000000000000000305,stable_nature,0.7999452489274373,100,100,1,3,4379.0,0.2110346062528341,0.20031034051119223,0.9491824306351279,0.6698106890474586,0.8808452953002927,0.6754492963504212,0.8757596368616134,recovering,recovering,False
00000000000000000306,stable_nature,0.57256192559041,100,100,3,3,4379.0,0.11508249255592984,0.5695223608667865,4.948818436392485,0.510656492718055,0.6257389852739849,0.18932269990125403,0.7588450607680406,recovering,indistinguishable,True
00000000000000000307,stable_nature,0.568992537980057,100,100,3,1,4379.0,0.36965504308281855,0.3668963887017352,0.9925372196789825,0.3465876351843867,0.7162426782672052,0.3564511856122941,0.7233475743140293,indistinguishable,indistinguishable,False
00000000000000000308,stable_nature,0.6266308074979802,100,100,1,3,4379.0,0.28581935933526414,0.28281476664610405,0.9894877915332679,0.489098772038996,0.7749181313742601,0.49597357899420624,0.7787883456403103,recovering,recovering,False
00000000000000000309,stable_nature,0.6199698114750785,100,100,1,4,4379.0,0.21174238328451328,0.22021595833118596,1.0400183228092172,0.49917069511005024,0.7109130783945635,0.4963538959309199,0.7165698542621058,recovering,recovering,False
0000000000000000030a,stable_crop,0.14190276423225473,100,100,3,3,4379.0,0.1968567990166953,0.621611712544471,3.1576847518065785,0.07042481230588268,0.267281611322578,0.028981322694561513,0.6505930352390326,degraded,indistinguishable,True
0000000000000000030b,stable_nature,0.3944892261057733,100,100,3,2,4379.0,0.2417080736416733,0.39846296287273963,1.6485298023741313,0.2669746837640809,0.5086827574057542,0.14766769131560276,0.5461306541883424,indistinguishable,indistinguishable,False
0000000000000000030c,stable_crop,0.11531656592201395,100,100,3,3,4379.0,0.11267549086721236,0.2600058992235766,2.3075639362422886,0.07258140096235634,0.1852568918295687,0.0640474793406945,0.3240533785642711,degraded,degraded,False
0000000000000000030d,stable_nature,0.6413017719318254,100,100,2,3,4379.0,0.1707336321542965,0.18122730331512593,1.0614622381567214,0.5673789999803762,0.7381126321346727,0.548731164228242,0.7299584675433679,recovering,recovering,False
0000000000000000030f,stable_nature,0.4465782748973123,100,100,2,1,4379.0,0.08786397253678252,0.09055133376945024,1.030585473830502,0.4037163045839093,0.4915802771206918,0.40516201460641,0.49571334837586023,indistinguishable,indistinguishable,False
00000000000000000311,stable_built,0.160496956607481,100,100,3,1,4379.0,0.1920421727336316,0.1888490322120272,0.9833727119613805,0.06994608033090272,0.2619882530645343,0.07064339833736144,0.25949243054938864,degraded,degraded,False
00000000000000000312,stable_nature,0.416317332024516,100,100,3,3,4379.0,0.26493506662516264,0.5270526563855021,1.989365406019244,0.3048603687097181,0.5697954353348808,0.2582968036874951,0.7853494600729972,indistinguishable,indistinguishable,False
00000000000000000317,stable_nature,0.5929648348723655,100,100,3,3,4379.0,0.16515055289287534,0.4353198867446285,2.635897241149402,0.48661227087373954,0.6517628237666149,0.31887771863236725,0.7541976053769958,recovering,indistinguishable,True
00000000000000000318,stable_nature,0.3747924245111234,100,100,3,1,4379.0,0.17809003266564294,0.17347196892500705,0.9740689376518554,0.2914631624239709,0.46955319508961385,0.2918893159528839,0.46536128487789097,degraded,degraded,False
00000000000000000319,stable_built,0.34598399683473335,100,100,2,2,4379.0,0.1783891234983565,0.18557314640859687,1.0402716419552707,0.2781964156008992,0.4565855390992557,0.24450271716632718,0.43007586357492406,degraded,degraded,False
0000000000000000031a,stable_built,0.41604929580207567,100,100,2,1,4379.0,0.12788796777676137,0.13264490634307813,1.037196138534474,0.3567541357330616,0.48464210350982295,0.3529445161187855,0.48558942246186365,degraded,degraded,False
0000000000000000031b,stable_crop,0.5422378005156164,100,100,3,3,4379.0,0.11159167568227768,0.36365279068738454,3.2587806255618195,0.4907424747872078,0.6023341504694855,0.32659861986922767,0.6902514105566122,recovering,indistinguishable,True
0000000000000000031c,stable_built,0.38269039491728163,100,100,3,1,4379.0,0.13511789939039082,0.13868678397415407,1.026413114767658,0.3149286224316234,0.4500465218220142,0.31638119807216114,0.4550679820463152,degraded,degraded,False
0000000000000000031d,stable_crop,0.2352808664488882,100,100,3,1,4379.0,0.15301825876419053,0.1575897744048461,1.029875621887062,0.14414369306601113,0.29716195183020166,0.14102768125292456,0.29861745565777065,degraded,degraded,False
0000000000000000031f,stable_built,0.4126606538628588,100,100,1,1,4379.0,0.14522502872420534,0.1532286524405828,1.0551118755953357,0.35425629991691776,0.4994813286411231,0.3557515895497788,0.5089802419903616,indistinguishable,indistinguishable,False
00000000000000000320,stable_crop,0.45471980312161203,100,100,3,1,4379.0,0.14363119599952429,0.14183965643888097,0.9875268074725964,0.4011454969099713,0.5447766929094956,0.4004131055567062,0.5422527619955871,indistinguishable,indistinguishable,False
00000000000000000321,stable_built,0.35462942498784306,100,100,3,1,4379.0,0.2504988474894113,0.2525914993953592,1.008353938259282,0.21187753024641265,0.46237637773582396,0.21371790674627586,0.4663094061416351,degraded,degraded,False
00000000000000000322,stable_nature,0.8829506930374923,100,100,2,3,4379.0,0.12599799186518035,0.2883597166937145,2.288605654939831,0.8065555469347638,0.9325535387999442,0.644989285915445,0.9333490026091595,recovering,recovering,False
00000000000000000323,stable_crop,0.07466177810966833,100,100,3,2,4379.0,0.07299266070960354,0.09535957745654605,1.3064269274403875,0.041802890430021666,0.11479555113962521,0.035960082520931524,0.13131965997747758,degraded,degraded,False
00000000000000000324,stable_nature,0.3358316466168608,100,100,2,1,4379.0,0.15267177430224987,0.15124845505022266,0.9906772600336103,0.2605239414706961,0.41319571577294595,0.2594286914423229,0.41067714649254555,degraded,degraded,False
00000000000000000325,stable_nature,0.42254732963424774,100,100,3,1,4379.0,0.14678017672395266,0.15446345149445112,1.0523454525126257,0.34114293993280315,0.4879231166567558,0.3380739197648568,0.4925373712593079,indistinguishable,indistinguishable,False
00000000000000000326,stable_nature,0.8360103298577368,100,39,3,3,4379.0,0.10799877048587603,0.32467596482294225,3.0062931583596413,0.7669728333736575,0.8749716038595335,0.5738466471980486,0.8985226120209908,recovering,recovering,False
00000000000000000327,stable_built,0.40922039531273224,100,100,2,1,4379.0,0.15334803547930598,0.152174050704715,0.9923443116116777,0.3278379797080851,0.48118601518739107,0.33239051319074636,0.4845645638954614,degraded,degraded,False
00000000000000000328,stable_crop,0.39985265353472565,100,100,2,3,4379.0,0.2772072195515011,0.4484056039319307,1.6175827045825673,0.26067047110264036,0.5378776906541415,0.2244739287132657,0.6728795326451964,indistinguishable,indistinguishable,False
00000000000000000329,stable_crop,0.6418059341901425,100,100,3,3,4379.0,0.2734872787348389,0.39996688517905143,1.4624697976056191,0.519246373766545,0.792733652501384,0.4161954144905753,0.8161622996696267,recovering,indistinguishable,True
0000000000000000032a,stable_nature,0.7721292612860802,100,100,1,3,4379.0,0.16279076676382875,0.16232274098873434,0.9971249857445944,0.6946573246940198,0.8574480914578485,0.6992598496670844,0.8615825906558188,recovering,recovering,False
0000000000000000032c,stable_nature,0.8279349731380115,100,100,3,2,4379.0,0.06731114774746594,0.3374708275630246,5.013594907475476,0.7913149281745917,0.8586260759220576,0.5080226906964236,0.8454935182594482,recovering,recovering,False
0000000000000000032d,stable_crop,0.3062648866314961,100,100,2,1,4379.0,0.06651070767253259,0.06972412834842207,1.0483143359669371,0.27315516298601417,0.33966587065854675,0.2734197850169307,0.34314391336535277,degraded,degraded,False
0000000000000000032e,stable_nature,0.46696271771660175,96,95,2,2,4379.0,0.15619948850536358,0.33188557605263636,2.1247545637208667,0.3872695634920731,0.5434690519974367,0.2370043329990106,0.5688899090516469,indistinguishable,indistinguishable,False
0000000000000000032f,stable_nature,0.845794722051109,100,100,3,3,4379.0,0.20591494418377987,0.7222033254696931,3.507289518652536,0.7229363928513277,0.9288513370351076,0.18147372241619567,0.9036770478858888,recovering,indistinguishable,True
