dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,000000000000000001a6,bad,100,0.31462034485354146,1.458394866518645,1.6142863483024412
candidate,000000000000000001a6,good,100,0.39805772473679124,1.437550442495807,2.8947650744664
candidate,000000000000000001a8,bad,100,0.2250379118225921,1.8085914241419863,2.5214732029333495
candidate,000000000000000001a8,good,100,-0.16939141849300612,2.3761128693074545,2.327343272709645
candidate,000000000000000001be,bad,100,0.12287019711004646,0.7978106022192596,3.5063764853291826
candidate,000000000000000001be,good,100,0.20762839232773586,1.3587211304112357,2.2113067098970487
candidate,000000000000000001cd,bad,100,0.16666048680952708,2.4130221556820985,2.787815660883754
candidate,000000000000000001cd,good,100,0.18752313007452823,1.5102822950112222,1.973012578309624
candidate,000000000000000001e4,bad,100,0.3361739079254139,1.5555999454157252,2.6748738608544316
candidate,000000000000000001e4,good,100,0.19617551222112656,1.0322718004984206,2.0079182002687657
candidate,000000000000000001e5,bad,100,0.25314057018623676,0.9125508081324164,2.1950259447512455
candidate,000000000000000001e5,good,100,0.3340933531365212,1.162347060153671,1.4986676516282207
candidate,000000000000000001f9,bad,100,0.21960288141335024,2.5892055690841773,2.7882731099001288
candidate,000000000000000001f9,good,100,0.4525636601113041,0.3687178094973026,2.1183869447453354
candidate,00000000000000000206,bad,100,0.35246812771601066,0.7533361131065865,2.2912481584534774
candidate,00000000000000000206,good,100,0.07835053519998003,2.1623796260447374,2.377254609995146
candidate,00000000000000000209,bad,100,0.21720360439368272,3.0564755790526936,2.392905343630681
candidate,00000000000000000209,good,100,0.23288220583735356,1.1490453219641494,2.563536124751781
candidate,00000000000000000228,bad,100,-0.00518382242846727,3.093573603373014,2.715332290519406
candidate,00000000000000000228,good,100,0.09182400155715938,0.7807679479066105,2.2138090755203685
candidate,00000000000000000231,bad,100,0.18023283058375975,2.1621487889643807,2.2485315076231114
candidate,00000000000000000231,good,100,0.02003169838381381,1.9229068023652753,2.6808039835272917
candidate,0000000000000000024c,bad,100,0.23176241066090306,1.3957791160620163,1.5678840918511106
candidate,0000000000000000024c,good,100,0.17365761261035367,1.2130004324970645,1.998076194663623
candidate,0000000000000000026d,bad,100,0.25515900230877075,2.0796405642428044,1.813748664427248
candidate,0000000000000000026d,good,100,0.07576084120045347,2.64951268502223,2.5752510182379216
candidate,00000000000000000278,bad,100,0.02375653632030431,2.4191555012256547,2.3194154701625718
