probe_state,step,parent_label,n,true_rate,error_rate,abstain_rate,no_data_rate,brier
bad,step3_deadband_effect,stable_crop,52376,0.5751489231709179,0.03608522987627921,0.3887658469528028,0.0,0.12594303268299298
bad,step3_deadband_effect,stable_nature,69006,0.5844564240790656,0.03608381879836536,0.3794597571225691,0.0,0.14081052831962237
bad,step4_knn,all,144922,0.5709968120782214,0.01035729564869378,0.4185147872648735,0.00013110500821131367,0.11536800600961382
bad,step4_knn,stable_built,23540,0.6465590484282073,0.006372132540356839,0.3470688190314358,0.0,0.110758746291464
bad,step4_knn,stable_crop,52376,0.5399801435772109,0.012505727814266076,0.44751412860852297,0.0,0.11983703242358953
bad,step4_knn,stable_nature,69006,0.5687621366258007,0.010086079471350318,0.42087644552647596,0.000275338376373069,0.11354784056259994
bad,step4_knn_v3t,all,144922,0.5694097514525055,0.010350395385103711,0.4201087481541795,0.00013110500821131367,0.11536800600961382
bad,step4_knn_v3t,stable_built,23540,0.6203483432455396,0.007731520815632965,0.3719201359388275,0.0,0.110758746291464
bad,step4_knn_v3t,stable_crop,52376,0.5479418054070566,0.011856575530777456,0.44020161906216587,0.0,0.11983703242358953
bad,step4_knn_v3t,stable_nature,69006,0.5683273918210011,0.010100570964843637,0.4212966988377822,0.000275338376373069,0.11354784056259994
