parent_id,lon,lat,country_iso3,vote_dw,vote_wc100,vote_wc200,vote_worldcereal,vote_vida,vote_msbuildings,n_nature,n_crop,n_built,stable_class
00000000000000000237,27.159080395134936,64.65844344694865,FIN,nature,crop,nature,unknown,unknown,unknown,2,1,0,nature
00000000000000000243,55.522577007453116,25.339991944792903,ARE,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000244,106.24693767207442,10.010780610463742,VNM,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000245,90.09981027155445,22.614952530416335,BGD,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000024a,147.22017575910675,-32.68964827334518,AUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
0000000000000000024f,49.89337411104655,58.8414926561611,RUS,nature,crop,nature,unknown,unknown,unknown,2,1,0,nature
00000000000000000273,131.04511075325064,45.21108535563037,CHN,nature,built,built,unknown,unknown,unknown,1,0,2,built
0000000000000000027d,-4.255184753581555,38.46922914831336,ESP,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000294,-54.43130360030472,-15.171781580787217,BRA,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000298,-8.873782955353663,32.35215122110148,MAR,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000299,116.93473359641484,36.21876969853713,CHN,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000002c8,-97.67368609502296,51.87353049183121,CAN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000002ca,51.164759732660904,58.03462586796495,RUS,nature,nature,crop,unknown,unknown,unknown,2,1,0,nature
000000000000000002e5,15.315691689303163,-4.389213393972188,COD,built,nature,built,unknown,unknown,unknown,1,0,2,built
000000000000000002e9,-7.135542880582389,9.312520140117638,CIV,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000002f8,60.98433393489981,34.309220899084266,AFG,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000313,-67.09054224717384,-9.130162137441374,BRA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000031a,74.19594664997402,32.11921806792928,PAK,built,built,built,unknown,unknown,unknown,0,0,3,built
00000000000000000324,11.547977724649067,32.05651566109774,LBY,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000032a,-92.85422459572172,44.3079191689766,USA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000032d,14.504333324686412,61.03778369430492,SWE,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000338,120.42387999146348,22.645046092434338,TWN,built,built,built,unknown,unknown,unknown,0,0,3,built
0000000000000000033b,116.60235694129062,24.263900065946128,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000033c,117.34679081724047,34.35126205438106,CHN,unknown,nature,nature,unknown,unknown,unknown,2,0,0,nature
00000000000000000340,0.5749666976006997,5.8770031675309395,GHA,built,nature,built,unknown,unknown,unknown,1,0,2,built
00000000000000000344,38.0148612776057,49.03269823733164,UKR,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000351,-104.33370577995667,52.759808351143526,CAN,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
