dataset,parent_id,parent_label,n_bad,n_good,n_eff_300m_bad,n_eff_300m_good,n_eff_min_300m,n_min
stable,000000000000000001c5,stable_crop,100,100,41.05373175363897,55.32456670667141,41.05373175363897,100
stable,000000000000000001c6,stable_nature,100,100,29.952059581969134,60.12867102426245,29.952059581969134,100
stable,000000000000000001c7,stable_built,100,100,43.881462101037165,45.43359636038002,43.881462101037165,100
stable,000000000000000001c8,stable_built,100,100,31.066535257255484,57.85055204338203,31.066535257255484,100
stable,000000000000000001c9,stable_nature,100,100,49.103889752696496,51.64374679737816,49.103889752696496,100
stable,000000000000000001ca,stable_nature,100,100,2.923892283671747,59.59974067230417,2.923892283671747,100
stable,000000000000000001cb,stable_crop,100,100,59.99304832060253,34.5426499156401,34.5426499156401,100
stable,000000000000000001cc,stable_nature,100,100,5.721337537755356,56.44763891686078,5.721337537755356,100
stable,000000000000000001ce,stable_nature,100,100,35.76378148845769,49.88271238266492,35.76378148845769,100
stable,000000000000000001cf,stable_crop,100,100,59.73124718268527,55.47715436833901,55.47715436833901,100
stable,000000000000000001d0,stable_crop,100,100,23.38257459090101,60.15094724395118,23.38257459090101,100
stable,000000000000000001d1,stable_built,100,100,5.7485907897385005,56.333310869376774,5.7485907897385005,100
stable,000000000000000001d2,stable_built,100,100,9.940105748071028,45.26961129470433,9.940105748071028,100
stable,000000000000000001d3,stable_nature,100,100,37.93979165929421,47.529690624713616,37.93979165929421,100
stable,000000000000000001d4,stable_crop,100,100,42.7047876295759,50.04238466274179,42.7047876295759,100
stable,000000000000000001d5,stable_crop,100,100,54.71315869583092,25.509240464476875,25.509240464476875,100
stable,000000000000000001d6,stable_built,100,100,16.94641788449298,52.06836279397869,16.94641788449298,100
stable,000000000000000001d9,stable_nature,100,100,15.56713944936888,61.76040256067717,15.56713944936888,100
stable,000000000000000001da,stable_nature,100,100,49.06624828490787,47.623786305364895,47.623786305364895,100
stable,000000000000000001db,stable_built,100,100,36.33592716653482,60.18027745265817,36.33592716653482,100
stable,000000000000000001dc,stable_nature,100,100,36.926087774572814,58.62987237497686,36.926087774572814,100
stable,000000000000000001dd,stable_crop,100,100,49.38337075309611,46.37221705975429,46.37221705975429,100
stable,000000000000000001de,stable_nature,100,100,50.4213845961479,51.61039100356089,50.4213845961479,100
stable,000000000000000001df,stable_crop,100,100,9.800733039753746,61.155724866454456,9.800733039753746,100
stable,000000000000000001e0,stable_nature,100,100,5.078745005616071,63.19784634823863,5.078745005616071,100
stable,000000000000000001e1,stable_nature,100,100,57.0996607550113,44.443356224613126,44.443356224613126,100
stable,000000000000000001e3,stable_crop,100,100,35.50488319999971,57.42266823573218,35.50488319999971,100
stable,000000000000000001e6,stable_nature,100,100,43.816116183150136,61.28510185106186,43.816116183150136,100
stable,000000000000000001e7,stable_nature,100,100,18.20595644471665,60.616092839906166,18.20595644471665,100
stable,000000000000000001e8,stable_crop,100,100,54.84183080534491,36.576330339023755,36.576330339023755,100
stable,000000000000000001e9,stable_nature,100,100,20.717678230470998,59.752669689012166,20.717678230470998,100
stable,000000000000000001ea,stable_crop,100,100,51.284600641491224,52.23447869566352,51.284600641491224,100
stable,000000000000000001eb,stable_built,100,100,14.385442310199693,57.39317422777683,14.385442310199693,100
stable,000000000000000001ec,stable_crop,100,100,53.99165123522789,49.29149370708168,49.29149370708168,100
stable,000000000000000001ed,stable_crop,100,100,31.434423414504895,49.50387846162613,31.434423414504895,100
stable,000000000000000001ee,stable_nature,100,100,2.800641395245066,60.041433995351525,2.800641395245066,100
stable,000000000000000001ef,stable_built,100,100,47.74472174368204,54.54166651903112,47.74472174368204,100
stable,000000000000000001f0,stable_nature,100,100,51.980084849973046,58.10995590763688,51.980084849973046,100
stable,000000000000000001f1,stable_crop,100,100,34.586967655099876,42.20488195258803,34.586967655099876,100
stable,000000000000000001f2,stable_crop,100,100,50.45872169527002,36.71512925660652,36.71512925660652,100
stable,000000000000000001f3,stable_nature,100,100,18.716911882007206,39.55103294373162,18.716911882007206,100
stable,000000000000000001f4,stable_nature,100,100,34.10390508494048,56.971055330916805,34.10390508494048,100
stable,000000000000000001f5,stable_crop,100,100,50.54626204803874,56.4121966893749,50.54626204803874,100
stable,000000000000000001f6,stable_crop,100,100,52.90252518329239,61.075741245083634,52.90252518329239,100
stable,000000000000000001f8,stable_nature,100,100,15.799411833081502,49.218062814668386,15.799411833081502,100
stable,000000000000000001fa,stable_built,100,100,42.50146081774276,43.90829354921272,42.50146081774276,100
stable,000000000000000001fb,stable_crop,100,100,45.01756861163547,45.503743274565856,45.01756861163547,100
stable,000000000000000001fc,stable_built,100,100,8.09367945372775,50.75922516841557,8.09367945372775,100
stable,000000000000000001fd,stable_nature,100,100,20.878570032508915,59.02077388153066,20.878570032508915,100
stable,000000000000000001fe,stable_built,100,100,9.476138828509061,60.602766756922684,9.476138828509061,100
stable,000000000000000001ff,stable_nature,100,100,22.194835703661703,61.737096295707495,22.194835703661703,100
stable,00000000000000000200,stable_nature,100,100,55.04326450169939,38.88002946251217,38.88002946251217,100
stable,00000000000000000201,stable_built,100,100,4.475874813978469,63.17431602505669,4.475874813978469,100
stable,00000000000000000202,stable_nature,100,100,4.26083285209539,45.241789496182605,4.26083285209539,100
stable,00000000000000000203,stable_crop,100,100,58.64703501320856,26.538224484967685,26.538224484967685,100
stable,00000000000000000204,stable_nature,100,100,29.515259638530324,52.93172933599846,29.515259638530324,100
stable,00000000000000000205,stable_crop,100,100,31.171422813653162,58.789785659584446,31.171422813653162,100
stable,00000000000000000207,stable_nature,100,100,38.96612069155162,61.21951383103602,38.96612069155162,100
stable,00000000000000000208,stable_nature,100,100,49.721558337409405,46.05238979293696,46.05238979293696,100
stable,0000000000000000020b,stable_nature,100,100,9.866763059631635,54.81405776498264,9.866763059631635,100
