parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000600,stable_built,0,100,100,0.04304175990385217,0.01826125434789396,0.29788509701341365
00000000000000000600,stable_built,500,94,94,0.05040550491946498,0.023604265645804222,0.31893445237299706
00000000000000000600,stable_built,1000,89,88,0.05040550491946498,0.023604265645804222,0.31893445237299706
00000000000000000600,stable_built,2000,74,56,0.05040550491946498,0.024640319479786132,0.3283369817935357
00000000000000000601,stable_nature,0,100,100,0.07138362729395245,0.044697150028938995,0.38505212541973166
00000000000000000601,stable_nature,500,97,96,0.07138362729395245,0.06775910921252708,0.486975539746444
00000000000000000601,stable_nature,1000,88,92,0.0724256832299823,0.08482718049187446,0.5394317056214271
00000000000000000601,stable_nature,2000,55,76,0.0728479612425053,0.08665720049529912,0.543287750381417
00000000000000000602,stable_built,0,100,100,0.11929941633812553,0.06665443767253124,0.35844612109170326
00000000000000000602,stable_built,500,98,94,0.11929941633812553,0.06665443767253124,0.35844612109170326
00000000000000000602,stable_built,1000,89,82,0.11929941633812553,0.06665443767253124,0.35844612109170326
00000000000000000602,stable_built,2000,57,45,0.1312542921446898,0.0778680350557565,0.37235639110283364
00000000000000000603,stable_crop,0,100,98,0.03463315352145728,0.015436398966485942,0.3082991199071479
00000000000000000603,stable_crop,500,100,92,0.03463315352145728,0.018541541461785216,0.34869107321216825
00000000000000000603,stable_crop,1000,100,78,0.03463315352145728,0.021235536486940366,0.38009726885252454
00000000000000000603,stable_crop,2000,92,32,0.03463315352145728,0.02275899996373041,0.3965524654726141
00000000000000000604,stable_crop,0,100,100,0.06296166625493875,0.015419630822940155,0.19672589504895066
00000000000000000604,stable_crop,500,97,95,0.06811987857218352,0.03683652051768902,0.3509697439771682
00000000000000000604,stable_crop,1000,92,87,0.07240854501973366,0.06622356306056436,0.4776928229478331
00000000000000000604,stable_crop,2000,62,67,0.13770476901848272,0.1183003696653639,0.46210154324674235
00000000000000000605,stable_crop,0,100,100,0.03659968296954359,0.01846796630445462,0.3353687064473885
00000000000000000605,stable_crop,500,100,97,0.03659968296954359,0.020614308592065478,0.3603018777235165
00000000000000000605,stable_crop,1000,98,91,0.04505348628025454,0.02263743714720574,0.3344235238736299
00000000000000000605,stable_crop,2000,72,71,0.059452875469396614,0.03538747825890072,0.3731268059154138
00000000000000000606,stable_built,0,99,97,0.05934441608161913,0.12689873371022303,0.6813605432005
00000000000000000606,stable_built,500,96,97,0.05934441608161913,0.12689873371022303,0.6813605432005
00000000000000000606,stable_built,1000,90,97,0.05934441608161913,0.12689873371022303,0.6813605432005
00000000000000000606,stable_built,2000,47,92,0.05934441608161913,0.12689873371022303,0.6813605432005
00000000000000000607,stable_crop,0,100,100,0.15184530535365268,0.020017231287228942,0.11647233701047847
