parent_id,parent_label,min_dist_m,n_good,n_bad,dor_knn
000000000000000006cc,crop_loss,0,200,200,0.3693204927735888
000000000000000006ce,crop_loss,0,200,200,0.5831204596522396
000000000000000006d9,crop_loss,0,200,200,0.17204515925431652
000000000000000006e5,crop_loss,0,200,200,0.49418535380042905
00000000000000000001,built_loss,500,194,197,0.4871976409210328
00000000000000000049,built_loss,500,198,174,0.5726959305611937
0000000000000000004a,built_loss,500,198,183,0.4564971130050389
0000000000000000004f,built_loss,500,200,194,0.4313575054908349
0000000000000000005a,built_loss,500,193,197,0.43884717428468395
00000000000000000079,built_loss,500,161,155,0.6515694312968434
00000000000000000085,built_loss,500,196,155,0.44360661094841686
00000000000000000087,built_loss,500,200,189,0.4896299800999705
000000000000000000a1,built_loss,500,195,197,0.4038262903101153
000000000000000000b8,built_loss,500,195,173,0.42479669266514575
000000000000000000c0,built_loss,500,191,199,0.6088716507422584
000000000000000000e2,built_loss,500,197,194,0.6141290178526577
000000000000000000f0,built_loss,500,196,192,0.5682726498303952
000000000000000000f8,built_loss,500,197,197,0.5475649335644601
00000000000000000114,built_loss,500,189,190,0.55580891051132
0000000000000000011c,built_loss,500,194,200,0.6550095495076286
00000000000000000151,built_loss,500,196,129,0.3874694272028837
00000000000000000161,built_loss,500,194,192,0.7164331884958811
0000000000000000016a,built_loss,500,197,161,0.29419966287664145
00000000000000000176,built_loss,500,193,196,0.5476943187992798
000000000000000001a8,built_loss,500,198,198,0.5593741410909232
000000000000000001be,built_loss,500,192,196,0.5625745313502809
000000000000000001cd,built_loss,500,193,199,0.6308779927111339
000000000000000001e5,built_loss,500,187,185,0.6546979962388383
00000000000000000206,built_loss,500,196,195,0.45350332572653584
00000000000000000209,built_loss,500,198,196,0.6643442071173876
00000000000000000231,built_loss,500,197,197,0.5040596819004689
0000000000000000024c,built_loss,500,193,194,0.6336502935805922
0000000000000000026d,built_loss,500,196,193,0.5646899279117132
00000000000000000278,built_loss,500,166,171,0.6177620137529605
00000000000000000293,built_loss,500,192,196,0.46872349214203335
000000000000000002a4,built_loss,500,197,181,0.4961272526071801
00000000000000000316,built_loss,500,195,29,0.49427933871954977
0000000000000000034d,built_loss,500,197,200,0.5356820906522151
00000000000000000356,built_loss,500,190,191,0.4795337398656654
00000000000000000362,built_loss,500,200,199,0.4549024471295339
00000000000000000363,built_loss,500,197,170,0.3522841817939804
00000000000000000364,built_loss,500,159,187,0.6766876899163271
00000000000000000375,built_loss,500,195,192,0.4786603303752884
00000000000000000380,built_loss,500,192,197,0.534146097838248
00000000000000000384,built_loss,500,195,191,0.6207345900611724
0000000000000000039e,built_loss,500,193,200,0.44312496365663057
000000000000000003a1,built_loss,500,197,197,0.6520981379091807
000000000000000003a5,built_loss,500,195,171,0.5413679938441542
000000000000000003b7,built_loss,500,198,196,0.5160544897435371
000000000000000003bf,built_loss,500,197,197,0.5955800395381331
000000000000000003d2,built_loss,500,195,197,0.5075650772419552
