strategy,parent_id,parent_label,x_obs_source,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
fscs_150,0000000000000000033a,crop_loss,test_site,150,150,69.59956714922394,108.87570116494348,69.59956714922394,0.5163000849737205,0.47636058969488404,0.546486852687577,0.07012626299269298
fscs_150,000000000000000003b0,crop_loss,test_site,150,150,94.05640200877347,118.33590234606162,94.05640200877347,0.2202396684495139,0.18525703011593772,0.26006379949124925,0.07480676937531153
fscs_150,000000000000000003c8,crop_loss,test_site,150,150,110.8644941848436,88.38544623886506,88.38544623886506,0.19414305164009105,0.17485697242044235,0.21953843060201858,0.044681458181576234
fscs_150,000000000000000003f1,crop_loss,test_site,150,138,105.80024875480774,97.03495282831486,97.03495282831486,0.46117080974416497,0.42576193949898256,0.4958610455080238,0.07009910600904123
fscs_150,000000000000000003f2,crop_loss,test_site,150,150,100.70568009387246,83.97038429338001,83.97038429338001,0.4739549322267528,0.4440012947185087,0.49914719809685365,0.05514590337834496
fscs_150,0000000000000000044b,crop_loss,test_site,150,150,112.21192649507493,31.76793036737887,31.76793036737887,0.5655137553040405,0.5484334701735754,0.5829917641431395,0.03455829396956411
fscs_150,0000000000000000046c,crop_loss,test_site,150,150,101.49737932440934,106.25818191718115,101.49737932440934,0.5099342592132844,0.4599266709581339,0.5613037007324843,0.10137702977435037
fscs_150,00000000000000000480,crop_loss,test_site,150,150,116.63895964406588,28.761181000342894,28.761181000342894,0.8606394316955509,0.8031950150167998,0.885435211656091,0.08224019663929116
fscs_150,00000000000000000483,crop_loss,test_site,150,150,114.31740604261067,26.03097965593448,26.03097965593448,0.7393780591164762,0.7061206458978387,0.7766620833997253,0.07054143750188657
fscs_150,00000000000000000485,crop_loss,test_site,150,150,92.58065964754908,112.294938855529,92.58065964754908,0.694118137008839,0.6767940725843756,0.7103999445610114,0.03360587197663578
fscs_150,00000000000000000497,crop_loss,test_site,150,150,109.48515790651479,84.24024328062767,84.24024328062767,0.22261034193307075,0.2027314591670529,0.2645642830451641,0.061832823878111204
fscs_150,0000000000000000049b,crop_loss,test_site,150,150,112.10853183361296,90.96806419366166,90.96806419366166,0.3544454299272326,0.33466968516110757,0.3759270346286275,0.04125734946751991
fscs_150,000000000000000004a1,crop_loss,test_site,150,150,91.39294044354999,106.43205628129132,91.39294044354999,0.3579549358033841,0.3211199467551681,0.3861202978315576,0.06500035107638952
fscs_150,000000000000000004e7,crop_loss,test_site,150,150,101.02070152113721,56.369140799063814,56.369140799063814,0.4912749089441831,0.4786545799773448,0.5046942589921414,0.02603967901479659
fscs_150,000000000000000004e9,crop_loss,test_site,150,150,121.82228831948711,42.95566273911998,42.95566273911998,0.3817575610473902,0.29518266044134134,0.4375057519708942,0.14232309152955286
fscs_150,000000000000000004ee,crop_loss,test_site,150,150,109.50096840059454,54.305041577246115,54.305041577246115,0.4245689648127563,0.3371855526033332,0.4770767023654214,0.13989114976208816
fscs_150,000000000000000004f9,crop_loss,test_site,150,150,106.62242258384508,93.48546499401263,93.48546499401263,0.3490883009039442,0.30131111881186057,0.4312436904716032,0.12993257165974265
fscs_150,00000000000000000517,crop_loss,test_site,150,150,111.11445057595037,78.06208487888377,78.06208487888377,0.30627644828793193,0.270823923226646,0.41035775336349106,0.13953383013684506
fscs_150,00000000000000000538,crop_loss,test_site,150,150,117.6342482226984,1.2734902643350514,1.2734902643350514,0.29359442117485074,0.28015872739254066,0.31337089897115206,0.033212171578611394
fscs_150,0000000000000000057e,crop_loss,test_site,150,150,110.92627662416899,10.120613644603557,10.120613644603557,0.5370595121190439,0.5226071007224153,0.5500101559116307,0.027403055189215375
fscs_150,000000000000000005d1,crop_loss,test_site,150,150,113.81596064486537,48.36461582403533,48.36461582403533,0.15638316123732698,0.13602905699507278,0.1884260184847476,0.05239696148967482
fscs_150,00000000000000000611,crop_loss,test_site,150,150,109.68723623420622,100.42198587259506,100.42198587259506,0.6533486023760511,0.6230253349583891,0.6907660473380184,0.06774071237962931
fscs_150,0000000000000000062f,crop_loss,test_site,150,150,104.03027950610499,100.74901537048484,100.74901537048484,0.5123294025948092,0.4464729776127428,0.5755895784535406,0.12911660084079785
fscs_150,00000000000000000632,crop_loss,test_site,150,150,112.68011767240286,36.22356571970524,36.22356571970524,0.07983045281213494,0.06685532629084909,0.08945883651139029,0.022603510220541204
fscs_150,0000000000000000063e,crop_loss,test_site,150,150,99.75543446325923,100.8409419177022,99.75543446325923,0.3100629222649524,0.2794676995124623,0.3499266554678214,0.07045895595535911
fscs_150,00000000000000000655,crop_loss,test_site,150,150,100.5368719751938,75.72097022994855,75.72097022994855,0.4770930987531729,0.3985733376192725,0.5811430590576124,0.18256972143833994
fscs_150,00000000000000000697,crop_loss,test_site,150,150,100.36641246774602,122.24791226568819,100.36641246774602,0.6194622148823534,0.580075593995104,0.6507830088461181,0.07070741485101406
fscs_150,00000000000000000698,crop_loss,test_site,150,150,45.21012834301569,114.3928742867621,45.21012834301569,0.4247908177938291,0.4004785329539875,0.44719777264031507,0.046719239686327574
fscs_150,000000000000000006a8,crop_loss,test_site,150,150,108.39604389307652,100.49180715193113,100.49180715193113,0.30258547725811863,0.266315473163639,0.34166253041425115,0.07534705725061214
fscs_150,000000000000000006b4,crop_loss,test_site,150,150,101.89902915145629,102.37853736692472,101.89902915145629,0.525798764496821,0.4781333403222208,0.5812468919290245,0.10311355160680363
fscs_150,000000000000000006be,crop_loss,test_site,150,150,90.05653171059568,34.89059685100532,34.89059685100532,0.38868446433354487,0.35769186214540344,0.4245644064409363,0.06687254429553285
fscs_150,000000000000000006c0,crop_loss,test_site,150,150,117.88464443557838,6.357249866712577,6.357249866712577,0.19218863336205005,0.17006039560579844,0.21671929366159248,0.04665889805579404
fscs_150,000000000000000006ce,crop_loss,test_site,150,150,110.98704127932513,58.320116609264076,58.320116609264076,0.5625108004927277,0.5022767174931544,0.6223943295021529,0.12011761200899851
fscs_150,000000000000000006d9,crop_loss,test_site,150,150,81.545889369941,110.74385141048265,81.545889369941,0.20054019582470076,0.18199620543911077,0.23803505697120517,0.0560388515320944
fscs_150,000000000000000006e5,crop_loss,test_site,150,150,100.63583818452344,107.31822645896091,100.63583818452344,0.5431829247140068,0.5026817651070059,0.5757138779279312,0.07303211282092525
fscs_150,00000000000000000151,built_loss,test_site,150,150,111.67891099772677,17.650680145773727,17.650680145773727,0.2729595686188662,0.25333132403833464,0.2978182185117386,0.04448689447340398
fscs_150,000000000000000001be,built_loss,test_site,150,150,98.49499139161415,6.899197866549252,6.899197866549252,0.5112393563378448,0.4799437279472646,0.5479122267824319,0.06796849883516731
fscs_150,0000000000000000034d,built_loss,test_site,150,150,106.78871942391774,10.465527439637414,10.465527439637414,0.4108301487303005,0.3903372002638989,0.423581447008837,0.03324424674493809
fscs_150,000000000000000003c7,crop_loss,test_site,150,150,111.45124343324574,44.81896561250855,44.81896561250855,0.7426809616720025,0.6944947002883813,0.76345073367977,0.06895603339138867
fscs_150,0000000000000000004a,built_loss,test_site,150,150,116.98918874987591,31.509803790861913,31.509803790861913,0.4432300614895312,0.4314748747384565,0.45732223286257073,0.025847358124114206
fscs_150,00000000000000000206,built_loss,test_site,150,150,84.43423610795159,104.85818745565037,84.43423610795159,0.7163983401217477,0.6711625640751612,0.7532325985467934,0.08207003447163219
fscs_150,000000000000000002a4,built_loss,test_site,150,150,115.42535720204775,24.36862685247888,24.36862685247888,0.41559311235601026,0.3958273702558135,0.43888061287568847,0.043053242619874976
fscs_150,000000000000000004f5,built_loss,test_site,150,150,111.37620737717212,25.709940346790336,25.709940346790336,0.48949507190498015,0.46255714189987035,0.5332157229283143,0.07065858102844397
fscs_150,000000000000000002cc,crop_loss,test_site,150,150,112.10485236003667,49.21892702350762,49.21892702350762,0.39938813431990805,0.33808325330965483,0.4955084128208447,0.15742515951118985
fscs_150,000000000000000006cc,crop_loss,test_site,150,150,54.54908431222182,115.25992206917941,54.54908431222182,0.35126421461951485,0.32302002889628595,0.37271815326808744,0.04969812437180149
fscs_150,0000000000000000016c,crop_loss,test_site,150,150,100.52573787366715,92.5901464342847,92.5901464342847,0.48498822794828234,0.44498672029463926,0.5162663804455027,0.0712796601508634
fscs_200,00000000000000000085,built_loss,test_site,200,200,121.77854841494378,45.08565065495455,45.08565065495455,0.35991470256723596,0.3311093602174841,0.39878509965222886,0.06767573943474475
fscs_200,00000000000000000114,built_loss,test_site,200,200,81.63516978458541,83.85988131759675,81.63516978458541,0.6924485329739907,0.6682798689299445,0.7120289785434422,0.04374910961349765
fscs_200,0000000000000000024c,built_loss,test_site,200,200,114.83157378881694,68.47604760732986,68.47604760732986,0.7180272821464494,0.6970287881543092,0.7377274527051764,0.040698664550867125
fscs_200,00000000000000000375,built_loss,test_site,200,200,96.04179531115194,104.47973279712564,96.04179531115194,0.652664514092622,0.6318464270799515,0.685254987402907,0.05340856032295549
fscs_200,000000000000000004d2,built_loss,test_site,200,200,127.38740115033592,65.5221886267803,65.5221886267803,0.6145007105605818,0.5896560845827193,0.6492176409769824,0.05956155639426308
fscs_200,000000000000000005bd,built_loss,test_site,200,200,117.87883657540766,8.446962329077593,8.446962329077593,0.557790824233098,0.5317517283155001,0.5824916336681896,0.05073990535268946
fscs_200,00000000000000000281,crop_loss,test_site,200,200,106.46300618536229,124.87566353695233,106.46300618536229,0.5214739964443655,0.5003965241491158,0.5373259810244706,0.03692945687535476
fscs_200,000000000000000003a2,crop_loss,test_site,200,200,75.27534919986131,127.50090609076817,75.27534919986131,0.33892274484211304,0.3009663017725225,0.3893743988205814,0.08840809704805891
