strategy,parent_id,parent_label,x_obs_source,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
random_200,0000000000000000009d,crop_loss,test_site,200,200,38.036543402169706,4.765505573616979,4.765505573616979,0.38109739426948014,0.3537319218953046,0.4097247580184553,0.0559928361231507
random_200,00000000000000000192,crop_loss,test_site,200,200,31.644026256185285,23.616313819570546,23.616313819570546,0.560785148962532,0.5487500042474248,0.5755329843421413,0.02678298009471647
random_200,000000000000000003c8,crop_loss,test_site,200,200,33.4540346245274,20.71678986924435,20.71678986924435,0.19494956779611586,0.1774387140872565,0.21032472466950441,0.03288601058224791
random_200,0000000000000000046c,crop_loss,test_site,200,200,27.39657439691851,31.31271692874505,27.39657439691851,0.5040883764301555,0.46056670783776343,0.5568572706658115,0.09629056282804804
random_200,00000000000000000483,crop_loss,test_site,200,200,35.06146502282537,7.69097128793127,7.69097128793127,0.6903182713228948,0.639967061240737,0.7314016208176047,0.09143455957686775
random_200,000000000000000004ee,crop_loss,test_site,200,200,33.62544052550662,12.05500019221296,12.05500019221296,0.37965238974330306,0.31199951585857577,0.4361812103586206,0.12418169450004485
random_200,00000000000000000611,crop_loss,test_site,200,200,34.34684722314404,29.222573418561403,29.222573418561403,0.6547014304305223,0.6267348602833056,0.6788084669044493,0.05207360662114369
random_200,0000000000000000062f,crop_loss,test_site,200,200,30.42219533537528,27.735138352897632,27.735138352897632,0.5119844109299803,0.459724117474494,0.57416520964858,0.11444109217408599
fscs_60,00000000000000000085,built_loss,test_site,60,60,25.288034064118268,6.37305560923339,6.37305560923339,0.3818793795019054,0.32757907278481563,0.4402687610352068,0.11268968825039116
fscs_60,00000000000000000114,built_loss,test_site,60,60,15.952371177679268,13.753700054479783,13.753700054479783,0.6827404516898786,0.637524752004473,0.7169562698401973,0.07943151783572433
fscs_60,0000000000000000024c,built_loss,test_site,60,60,19.790558121047503,11.314828522957452,11.314828522957452,0.7237331070711518,0.677765074584617,0.7594896256830966,0.08172455109847965
fscs_60,00000000000000000375,built_loss,test_site,60,60,17.210942582343762,18.750227564719797,17.210942582343762,0.6526738985551048,0.5880736781478069,0.690737314883017,0.10266363673521017
fscs_60,000000000000000004d2,built_loss,test_site,60,60,23.39541486408901,14.09233500729961,14.09233500729961,0.4945150957142538,0.2759785528160564,0.7164056831243267,0.44042713030827035
fscs_60,000000000000000005bd,built_loss,test_site,60,60,19.778726086276325,4.018206543199423,4.018206543199423,0.5512266975336753,0.49735749786451106,0.5888997782361488,0.09154228037163775
fscs_60,00000000000000000281,crop_loss,test_site,60,60,21.025077471262783,20.560070562031967,20.560070562031967,0.504977984595352,0.46015012709127734,0.5393448486249366,0.07919472153365925
fscs_60,000000000000000003a2,crop_loss,test_site,60,60,15.645798153978768,22.64509511303538,15.645798153978768,0.3222466709201881,0.27317238070715727,0.40433753848050724,0.13116515777334997
fscs_60,00000000000000000001,built_loss,test_site,60,60,28.25854570555038,15.954336951451143,15.954336951451143,0.4674619993039897,0.40348989133664687,0.5173727490783399,0.11388285774169299
fscs_60,00000000000000000049,built_loss,test_site,60,60,26.47743854544724,3.4414647253298836,3.4414647253298836,0.483697919527782,0.4289469984535343,0.508679797147604,0.07973279869406974
fscs_60,0000000000000000004a,built_loss,test_site,60,60,27.538870319263165,5.869552805634273,5.869552805634273,0.4276292745444355,0.4020912676793781,0.4556071991264984,0.0535159314471203
fscs_60,0000000000000000004f,built_loss,test_site,60,60,26.810539958734942,18.127305292438255,18.127305292438255,0.44398745325156497,0.38561086790240817,0.5171097971566181,0.13149892925420992
fscs_60,0000000000000000005a,built_loss,test_site,60,60,24.77529036498237,18.35220277110373,18.35220277110373,0.4401439707800734,0.4061499933776329,0.4712634454801096,0.06511345210247671
fscs_60,00000000000000000079,built_loss,test_site,60,60,26.588317300958654,26.649024633405364,26.588317300958654,0.6189598105643463,0.5700142985736797,0.6753039776383388,0.10528967906465914
fscs_60,00000000000000000087,built_loss,test_site,60,60,26.118102041933636,20.573965345437646,20.573965345437646,0.5715596845052272,0.514309274529695,0.6514297084544317,0.13712043392473672
fscs_60,000000000000000000a1,built_loss,test_site,60,60,29.179043231157628,5.518564930893767,5.518564930893767,0.4446738302446106,0.402613530511851,0.480962575698942,0.07834904518709102
fscs_60,000000000000000000b8,built_loss,test_site,60,60,28.012387577553707,4.769312129800557,4.769312129800557,0.49760720173338385,0.3785759579488581,0.6034437447912475,0.2248677868423894
fscs_60,000000000000000000c0,built_loss,test_site,60,60,18.132929188488728,16.250388336007337,16.250388336007337,0.6382450656747481,0.582645315258848,0.6884134612635767,0.10576814600472872
fscs_60,000000000000000000e2,built_loss,test_site,60,60,26.311424062823907,9.921205080492713,9.921205080492713,0.363156370575493,0.3277186030163771,0.39250111975421176,0.06478251673783464
fscs_60,000000000000000000f0,built_loss,test_site,60,60,29.01599762741652,15.633860127560938,15.633860127560938,0.651528566020524,0.5821101478967378,0.715506763895987,0.13339661599924924
fscs_60,000000000000000000f8,built_loss,test_site,60,60,30.318503017136123,22.052869450019706,22.052869450019706,0.5355778476862396,0.4894984540944976,0.6169533144032492,0.12745486030875158
fscs_60,0000000000000000011c,built_loss,test_site,60,60,28.955498534853472,4.1912071949120016,4.1912071949120016,0.750203594533863,0.7146575776846528,0.7930138128540946,0.07835623516944179
fscs_60,00000000000000000161,built_loss,test_site,60,60,23.403032738496574,18.233349535351746,18.233349535351746,0.6558809060800027,0.6187895813298167,0.6953613853202694,0.07657180399045271
fscs_60,0000000000000000016a,built_loss,test_site,60,60,26.77736851105258,5.855336644558172,5.855336644558172,0.25034270552156374,0.19716548045295712,0.2920142188171758,0.0948487383642187
fscs_60,000000000000000001a8,built_loss,test_site,60,60,24.033648372510513,21.006304019754527,21.006304019754527,0.5915231059585947,0.5213102045696318,0.6538938361364134,0.13258363156678155
fscs_60,000000000000000001be,built_loss,test_site,60,60,21.73463053680521,5.295999820136144,5.295999820136144,0.5435254958374319,0.4911157991861776,0.5889114157896319,0.09779561660345432
fscs_60,000000000000000001cd,built_loss,test_site,60,60,22.82537789850644,27.261224409863434,22.82537789850644,0.7617765152134769,0.7093551478103388,0.8142201252286706,0.10486497741833178
fscs_60,000000000000000001e5,built_loss,test_site,60,60,16.187864404455038,10.756898446301747,10.756898446301747,0.5589345167940933,0.5318456879098289,0.6301373985367777,0.09829171062694886
fscs_60,00000000000000000206,built_loss,test_site,60,60,19.4637941056309,22.413658897374816,19.4637941056309,0.7417115901289169,0.6956646561480264,0.7733055078986087,0.07764085175058233
fscs_60,00000000000000000209,built_loss,test_site,60,60,27.431791947109712,25.554045266722053,25.554045266722053,0.6329779671194405,0.5587110148686681,0.6839831470601214,0.12527213219145328
fscs_60,00000000000000000231,built_loss,test_site,60,60,25.265538297860882,22.43390414532248,22.43390414532248,0.5465385191464787,0.49430247256458776,0.5862505733722698,0.09194810080768206
fscs_60,0000000000000000026d,built_loss,test_site,60,60,27.285834124069137,12.303418250108386,12.303418250108386,0.6065602980953004,0.5377057702191057,0.6615748295989822,0.12386905937987647
fscs_60,00000000000000000278,built_loss,test_site,60,60,20.289822711944055,18.615553126036755,18.615553126036755,0.7430342568661392,0.7020340786051501,0.8131951165092192,0.11116103790406906
fscs_60,00000000000000000293,built_loss,test_site,60,60,21.45386841265653,15.31524151576906,15.31524151576906,0.5121949081361196,0.4587555626133369,0.5611536067874149,0.102398044174078
fscs_60,000000000000000002a4,built_loss,test_site,60,60,24.846840647588202,5.8054768538516175,5.8054768538516175,0.4210806362957578,0.39702329848046186,0.46967400065822357,0.0726507021777617
fscs_60,00000000000000000316,built_loss,test_site,60,60,22.105264118734507,1.5598322480942475,1.5598322480942475,0.12602673536553963,0.10416489350074264,0.14288351307418187,0.038718619573439236
