parent_id,n_bad_total,closest_bad_m,closest_bad_cosine,min_cosine_any_bad,median_bad_m,n_bad_within_30m,n_bad_within_50m,n_bad_within_100m,n_bad_within_200m,n_bad_within_300m
000000000000000005e7,200,171.60290324075748,0.07907584617206742,0.03377621605866732,2405.5086679768942,0,0,0,2,4
00000000000000000001,200,197.0609581724118,0.11909747085495681,0.04633138059367947,2949.4478637977318,0,0,0,1,2
0000000000000000062a,200,197.82696145954455,0.13743468113301427,0.049947788734869825,2325.5240933091254,0,0,0,1,2
00000000000000000636,200,201.72820805415844,0.0962874993630245,0.032909125753832646,3259.615409076023,0,0,0,0,1
0000000000000000026d,200,208.35392623077044,0.08922434624914632,0.06103275481715609,1813.057184264711,0,0,0,0,2
00000000000000000384,200,209.91327215426483,0.2175845221727628,0.10803447635073493,1190.1899355489113,0,0,0,0,3
000000000000000003fa,200,210.1367829254788,0.1903141046795539,0.05904490578496646,2447.604614230667,0,0,0,0,2
000000000000000003d2,200,225.64893713507306,0.07029479622311541,0.036668696938569556,2310.1757677713827,0,0,0,0,2
000000000000000006e3,190,232.16173713299096,0.1595122806321715,0.06252146472157138,3677.7732714067797,0,0,0,0,2
000000000000000001e5,200,238.6897266681802,0.2985423165735238,0.07145655190310496,2177.0950502817045,0,0,0,0,7
000000000000000003b7,200,254.92704606186572,0.11215788330509147,0.11215788330509147,3444.0106006402293,0,0,0,0,1
0000000000000000005a,200,260.88797138795223,0.1637609098026419,0.11399583669279756,2270.873144046549,0,0,0,0,1
000000000000000000f8,200,263.5009006580061,0.1422291953724486,0.06232765934324824,2037.9519165035535,0,0,0,0,1
0000000000000000004f,200,266.49198282081153,0.05423725603856555,0.018924026202439603,2296.1164630871126,0,0,0,0,2
0000000000000000042b,200,285.963816345732,0.2753003296142329,0.039423982428245186,1595.2421211399517,0,0,0,0,1
000000000000000000a1,200,286.33198503225725,0.28200683104058155,0.06234863600633078,1351.8674186066148,0,0,0,0,1
00000000000000000209,200,298.46453398152767,0.03613748094864111,0.03613748094864111,2403.878275604782,0,0,0,0,1
00000000000000000626,200,310.0150483816967,0.21456842767733642,0.06435965524166043,1937.4641644770445,0,0,0,0,0
00000000000000000079,158,315.92416829881523,0.4722229130041744,0.10861322523078065,2358.5301950953235,0,0,0,0,0
00000000000000000231,200,316.68663204599494,0.29692143093417744,0.05492111056754456,2331.169468292409,0,0,0,0,0
0000000000000000069d,200,334.11141016196206,0.26365110945467163,0.07543929268013361,2358.4636658289546,0,0,0,0,0
00000000000000000362,200,345.9085105573765,0.382788927964376,0.04683822237780222,2075.7509847459087,0,0,0,0,0
000000000000000004eb,200,346.89294675898924,0.37979008087103205,0.13842783508534084,2317.292454668278,0,0,0,0,0
000000000000000004d2,200,351.64639566262923,0.11795859344511905,0.026059236178098577,2337.8477937570906,0,0,0,0,0
000000000000000001be,200,356.52611714274303,0.12448289957822356,0.04517441090571106,3479.8605256121737,0,0,0,0,0
00000000000000000380,200,358.05526905647963,0.3691766966670418,0.0965215112193395,2796.3689539416364,0,0,0,0,0
000000000000000001cd,200,400.3141413897334,0.37915669051510337,0.04042238859690117,2694.663653158742,0,0,0,0,0
000000000000000000c0,200,443.3283903007335,0.222975229268779,0.11609731009881663,2186.984926017064,0,0,0,0,0
000000000000000005bf,200,459.04982764401836,0.08563673886318413,0.06369263528759883,2155.2000579505248,0,0,0,0,0
000000000000000003bf,200,473.3757921298458,0.28348956300669337,0.09277634151066905,2214.1334876906103,0,0,0,0,0
000000000000000005ad,200,485.00024722699237,0.16840188304203396,0.03924984030030354,1942.609055971865,0,0,0,0,0
00000000000000000278,172,488.97350995991894,0.030577769433094093,0.030577769433094093,2385.8965466861487,0,0,0,0,0
0000000000000000011c,200,735.943958669139,0.34504357714158407,0.05707810626418386,2084.175177365026,0,0,0,0,0
00000000000000000364,187,1189.901944294432,0.18483922260710894,0.09831427950165772,3059.6939190381327,0,0,0,0,0
0000000000000000039e,200,1338.228204532218,0.2806742481642235,0.06306145649563522,2184.49808475263,0,0,0,0,0
0000000000000000034d,200,2420.1710362838135,0.04754132448399806,0.04447519786847298,4438.368560425517,0,0,0,0,0
