parent_label,inner_m,outer_m,n_sites,mean_sim_all,median_sim_all,mean_sim_good,mean_sim_bad
stable_built,0,2000,236,0.7969050630486328,0.8022739383866188,0.8139153117960709,0.8488293326961995
stable_built,0,3000,236,0.7732942571816357,0.7751220672987128,0.8048738540648445,0.8415774041455318
stable_built,0,4000,236,0.7625716040756202,0.7636811941107775,0.801731845609236,0.8411506209197284
stable_built,0,5000,236,0.7559775396224688,0.7542527906761476,0.7956821810931715,0.832910183699457
stable_built,0,6000,236,0.7559834409627307,0.7524903100538428,0.7958018158205582,0.8308256284742539
stable_built,0,7000,236,0.7561408101634728,0.7538163111419385,0.7959636070804403,0.830339570889297
stable_built,0,8000,236,0.7564726357791306,0.7540369144352259,0.7957766717390966,0.8297575836878182
stable_built,500,1000,236,0.8228200187339371,0.822656197803406,0.8343754066766934,0.8595254159940987
stable_built,500,2000,236,0.7934589229146214,0.7983816200922247,0.8141419136023562,0.8476259605570614
stable_built,500,3000,236,0.7732310342886008,0.7755598438948736,0.8047132726207036,0.8405001184975244
stable_built,500,4000,236,0.7637314843235667,0.7625274391099632,0.8017650045325923,0.8396736992770704
stable_built,500,5000,236,0.7574164751375814,0.7556022722690354,0.7958483520812604,0.8317891336115878
stable_built,500,6000,236,0.7569889419494089,0.7545508040943459,0.7957460499365658,0.8296270994346896
stable_built,500,7000,236,0.7574106063171557,0.7562762572651536,0.7957210859229576,0.8300012501888873
stable_built,500,8000,236,0.7572771444531146,0.7556535076907414,0.7958251626024474,0.8299506459307209
stable_built,1000,2000,236,0.7926839969068232,0.7966333987959173,0.8134853724997114,0.8454941739809841
stable_built,1000,3000,236,0.7751264165721261,0.7777863670936147,0.8048334034820843,0.8374746854686065
stable_built,1000,4000,236,0.7675368949764844,0.7646247396200461,0.8016443086936461,0.8362013338298979
stable_built,1000,5000,236,0.759641999343624,0.7582478830761946,0.7957242745765243,0.8325032326679387
stable_built,1000,6000,236,0.7586902365515082,0.7587782511550513,0.795728635443978,0.8319959094682821
stable_built,1000,7000,236,0.7587764358051473,0.7574599651927063,0.7956680571741616,0.8316697917608505
stable_built,1000,8000,236,0.7584330091785678,0.7566697427252461,0.7956259708134082,0.8316383450895782
stable_built,2000,3000,236,0.7814200396522946,0.7848885254872002,0.8041648992917497,0.8338339106778884
stable_built,2000,4000,236,0.7757970197873297,0.7738117717972828,0.8010695545029903,0.8322035607282332
stable_built,2000,5000,236,0.7615751110415826,0.7635444384857597,0.7959144995366834,0.8345926217272911
stable_built,2000,6000,236,0.7601014202541645,0.7599047372994261,0.7959427737527596,0.833471947375769
stable_built,2000,7000,236,0.7595577983301869,0.7588983653865439,0.7957212900920937,0.8331214093135981
stable_built,2000,8000,236,0.7597233776502567,0.7608578899069883,0.7956581451616265,0.8329960735872692
stable_built,3000,4000,236,0.7931677052966706,0.7964682827864056,0.8058846162864303,0.8292640545527098
stable_built,3000,5000,236,0.7603858353427124,0.7618826384286739,0.7968485556769799,0.8376189119044043
stable_built,3000,6000,236,0.7592166818568137,0.7589413480300411,0.7970615072017453,0.8362351062738113
stable_built,3000,7000,236,0.7589179584273827,0.758985734729591,0.7970795293309895,0.8359170445178572
stable_built,3000,8000,236,0.7587376761054778,0.7601905075202282,0.7970962243823125,0.835827111278539
stable_built,4000,5000,236,0.7594730116576132,0.7600071112148482,0.7971788785259905,0.8395073664004276
stable_built,4000,6000,236,0.7587877497159379,0.7607246345849514,0.7971299349908294,0.8379554582644981
stable_built,4000,7000,236,0.7582362006135317,0.7614071749152931,0.7970588741755226,0.8376176449439288
stable_built,4000,8000,236,0.7581814754517197,0.7603144699503603,0.7968146136539501,0.8376162724563352
stable_crop,0,1000,528,0.849256998568033,0.85693731245489,0.8454648101655575,0.8989793053174673
stable_crop,0,2000,528,0.8264603120652653,0.8347946158523041,0.8297045219228792,0.8858609312167547
stable_crop,0,3000,528,0.8124571839469911,0.8188926074304801,0.8209413975617591,0.8822149788989566
stable_crop,0,4000,528,0.8019349737679388,0.8095288174597635,0.815706370883067,0.880386538204665
stable_crop,0,5000,528,0.7949474035048611,0.7990082723258842,0.8088781270343057,0.8747342878804091
stable_crop,0,6000,528,0.7947678112852091,0.7984639158432059,0.8090476280685196,0.8743810269088979
stable_crop,0,7000,528,0.7948699105973738,0.7992200176590409,0.8090122844606579,0.8742115681340596
stable_crop,0,8000,528,0.794657345334411,0.80012630221579,0.8090506922063102,0.8741945437484189
stable_crop,500,1000,528,0.8453287522281122,0.8533336501876989,0.8434231181121404,0.8994530790443266
stable_crop,500,2000,528,0.8253233800257478,0.8337470862210445,0.8302733301123971,0.8860712899263995
stable_crop,500,3000,528,0.8117005486282604,0.8182645910006008,0.8213106362171714,0.8825588727338586
stable_crop,500,4000,528,0.8013320711451244,0.807449093062541,0.8159114174827204,0.880591964082075
stable_crop,500,5000,528,0.7944993486125397,0.7979929144049616,0.8092271734089189,0.874690451730699
stable_crop,500,6000,528,0.7942532010462909,0.7982741749668918,0.8090648896276469,0.8743732950490841
stable_crop,500,7000,528,0.7943694675556638,0.797319181111301,0.8091387554985126,0.8740451584424417
stable_crop,500,8000,528,0.7943469971371727,0.7981324564668932,0.8092783236069522,0.8740792931902021
stable_crop,1000,2000,528,0.8240000720831128,0.8323642305262394,0.8315336919279457,0.8862655733151455
stable_crop,1000,3000,528,0.8110472103342282,0.8179831687165777,0.8218513667689535,0.8826016262602612
stable_crop,1000,4000,528,0.8008737375055706,0.809579961312048,0.8166872139593753,0.8805994266580401
stable_crop,1000,5000,528,0.7940573055208636,0.7976129392935213,0.8093974519241591,0.8746330998265577
stable_crop,1000,6000,528,0.7940447703527977,0.7972874491193267,0.8095381525722843,0.874227483996743
stable_crop,1000,7000,528,0.7936462598731897,0.7970266790103329,0.8093801403204406,0.8740192489250801
stable_crop,1000,8000,528,0.7938750811210099,0.7973678388026159,0.8094230457886856,0.8739668059988603
stable_crop,2000,3000,528,0.8094239757309097,0.8144619766604803,0.8218947262768773,0.8832519556021439
stable_crop,2000,4000,528,0.8005555985947124,0.8084670753632416,0.8167062798257394,0.8805181786892214
stable_crop,2000,5000,528,0.7925642855537121,0.7947128427648705,0.8091872076845248,0.874196637187306
stable_crop,2000,6000,528,0.792107394191593,0.796840125464332,0.8093879872257317,0.8737894320850419
stable_crop,2000,7000,528,0.792128023476974,0.7953523600701553,0.8093215362622292,0.8734619740782237
stable_crop,2000,8000,528,0.7919734174889188,0.7970291838873591,0.8092867536610505,0.8734627760826524
stable_crop,3000,4000,528,0.809924017929195,0.8162041710462615,0.817136235498469,0.8773861661699363
stable_crop,3000,5000,528,0.7905956521365657,0.7928895098813697,0.8083160708596062,0.8727621325671245
stable_crop,3000,6000,528,0.7900685054698995,0.7951600015248554,0.8081174334954392,0.8725901278603484
stable_crop,3000,7000,528,0.7898787809619205,0.7953360312494369,0.8083360317971252,0.8720951289023332
stable_crop,3000,8000,528,0.7898883373085815,0.795144962368208,0.8083219642118176,0.8723143934148659
stable_crop,4000,5000,528,0.7900762426308041,0.7949741122135094,0.807700025238479,0.8732992669907067
stable_crop,4000,6000,528,0.7894445855944633,0.7931204311427893,0.8077484140581004,0.8730122975668466
stable_crop,4000,7000,528,0.7894680759216236,0.7949314355750434,0.8077729599507554,0.8725234436771712
stable_crop,4000,8000,528,0.7894517437712538,0.7948995912452244,0.8079631986275096,0.8726405072308047
stable_nature,0,1000,788,0.8459540243240227,0.8483539025371011,0.8565488455747163,0.873014933894319
stable_nature,0,2000,788,0.8202315889522693,0.821688834828548,0.8380106061053589,0.8599817649618717
stable_nature,0,3000,788,0.8059243243334309,0.8068160764389204,0.8289283167289513,0.8522319433248096
stable_nature,0,4000,788,0.7973874365740315,0.7967252853717955,0.8251605088682525,0.847405123745954
stable_nature,0,5000,788,0.7886440483663384,0.7886111626941057,0.817268494149773,0.8399956122693653
stable_nature,0,6000,788,0.7882098107133734,0.7883029775292417,0.8169999948399261,0.8401716236362986
stable_nature,0,7000,788,0.787889000034904,0.786126520064079,0.8170549146094614,0.8405035244770298
stable_nature,0,8000,788,0.7870569593870912,0.7862495437460362,0.8171466597461775,0.8409365130048492
stable_nature,500,1000,788,0.843660171703506,0.849196757193652,0.8564842367181147,0.87445740420784
stable_nature,500,2000,788,0.8193873381258023,0.8196763520378441,0.8378979553199744,0.8603920471428451
stable_nature,500,3000,788,0.8058818867707033,0.8060372948896055,0.828797813536251,0.852419570240347
stable_nature,500,4000,788,0.7974965750639582,0.7983927947142314,0.8250903675982063,0.8477699011042827
stable_nature,500,5000,788,0.7888688251856557,0.7894450018125329,0.8169218433193067,0.8397046680966366
stable_nature,500,6000,788,0.7883243239484982,0.7878739225686403,0.8171021341860505,0.8399416408018576
stable_nature,500,7000,788,0.7880015396359076,0.7886508042667937,0.8171118225685556,0.840603142364495
stable_nature,500,8000,788,0.7872004308307416,0.7880485187198609,0.8170281411618251,0.8411827147479692
stable_nature,1000,2000,788,0.818474080527072,0.8181224114512041,0.8365593646152352,0.8595200853182356
stable_nature,1000,3000,788,0.8063979218673151,0.8068839302771371,0.8282899325506121,0.8516764228203729
stable_nature,1000,4000,788,0.7984294170262899,0.7987346208919692,0.8247551110717671,0.8477071819448049
stable_nature,1000,5000,788,0.7891704779666555,0.7909051016044737,0.8167656508206428,0.8401411209690565
stable_nature,1000,6000,788,0.7884704274575641,0.7884876630936082,0.8168005002032002,0.8401609284457398
stable_nature,1000,7000,788,0.788102222265324,0.7886927037560616,0.8167209715393842,0.8407763519669015
stable_nature,1000,8000,788,0.7871672862099073,0.7873788671528467,0.8167985382194792,0.8414726420097371
stable_nature,2000,3000,788,0.8104361986823008,0.8104493191405829,0.8290505884298659,0.8543829739533728
stable_nature,2000,4000,788,0.8031329996936394,0.8020304381485193,0.8248786541185272,0.8489432520077236
stable_nature,2000,5000,788,0.7901108124440488,0.7897448509811844,0.8165721998319904,0.8426902804536579
stable_nature,2000,6000,788,0.7888927231044399,0.7895222738218919,0.8163530260813395,0.8422336331939289
stable_nature,2000,7000,788,0.7883438680676258,0.7876198189724432,0.8163365880712684,0.842794692850743
stable_nature,2000,8000,788,0.7875201351747135,0.7876839419790167,0.8164047858719112,0.843561245250255
stable_nature,3000,4000,788,0.8149924770458113,0.8157837844564005,0.8254474201318244,0.8509586151735719
stable_nature,3000,5000,788,0.7889726541876906,0.7864304317878904,0.8145136970097551,0.8447941291455404
stable_nature,3000,6000,788,0.7876591730409671,0.7879726057765171,0.8144288540423228,0.8443227339143526
stable_nature,3000,7000,788,0.7871823612515882,0.7867186101285619,0.8144329928218623,0.8445859104601541
stable_nature,3000,8000,788,0.7862129180207962,0.7854933265905242,0.8144124197445538,0.8454488225885819
stable_nature,4000,5000,788,0.7867447337807371,0.7860689935144944,0.8141059706783922,0.8463985241646589
stable_nature,4000,6000,788,0.785781294064966,0.7836988182416915,0.814015731249442,0.8459687172706395
stable_nature,4000,7000,788,0.7851658306340916,0.7842121821007342,0.8140593865136436,0.8466307228924469
stable_nature,4000,8000,788,0.784480486234619,0.7831513367500047,0.8140593391431293,0.8472993493235863
