parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000619,stable_nature,4000,100,100,0.041574961993103156,0.06969850492721881,0.6263712891816381
000000000000000004ae,stable_crop,0,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,25,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,50,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,75,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,100,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,150,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,200,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,300,233,241,0.04257686625774273,0.0026979195670360223,0.05958989132312735
000000000000000004ae,stable_crop,500,233,236,0.04257686625774273,0.0037163326409635376,0.08027815595580107
000000000000000004ae,stable_crop,1000,232,196,0.04257686625774273,0.005293709483904419,0.11058378558811308
000000000000000004ae,stable_crop,2000,218,41,0.048964154445593655,0.04153975545199504,0.4589829930943437
000000000000000004ae,stable_crop,3000,166,41,0.12586216014721346,0.04153975545199504,0.24814384771558315
000000000000000004ae,stable_crop,4000,85,41,0.19975258949186864,0.04153975545199504,0.17215529759755557
00000000000000000404,stable_nature,0,300,260,0.040414869526286853,0.04454448806555926,0.5243034943723499
00000000000000000404,stable_nature,25,300,260,0.040414869526286853,0.04454448806555926,0.5243034943723499
00000000000000000404,stable_nature,50,300,259,0.040414869526286853,0.04606665415429008,0.5326762549178305
00000000000000000404,stable_nature,75,300,258,0.040414869526286853,0.04902156807750224,0.5481162867211211
00000000000000000404,stable_nature,100,300,258,0.040414869526286853,0.04902156807750224,0.5481162867211211
00000000000000000404,stable_nature,150,299,258,0.040414869526286853,0.04902156807750224,0.5481162867211211
00000000000000000404,stable_nature,200,298,257,0.040414869526286853,0.05196862607699,0.5625314969634482
00000000000000000404,stable_nature,300,297,256,0.040414869526286853,0.05196862607699,0.5625314969634482
00000000000000000404,stable_nature,500,293,254,0.040414869526286853,0.05805185635001844,0.5895581053680418
00000000000000000404,stable_nature,1000,272,251,0.04365628376436139,0.05805185635001844,0.5707690287538756
00000000000000000404,stable_nature,2000,214,226,0.04719666236415476,0.05898655554356995,0.5555167445977659
00000000000000000404,stable_nature,3000,106,177,0.062326612356798775,0.06387958754544265,0.5061525312894077
00000000000000000404,stable_nature,4000,100,100,0.062326612356798775,0.08593957383953074,0.5796302990160721
000000000000000000a7,stable_nature,0,300,300,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,25,300,300,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,50,300,300,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,75,300,300,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,100,300,300,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,150,300,300,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,200,300,300,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,300,300,299,0.04919400415040256,0.17157106813036482,0.7771658186553388
000000000000000000a7,stable_nature,500,292,299,0.05132013903410311,0.17157106813036482,0.7697525187837287
000000000000000000a7,stable_nature,1000,272,293,0.054316676071546534,0.17250749168737906,0.760534000371441
000000000000000000a7,stable_nature,2000,230,262,0.06468923395466589,0.17250749168737906,0.7272760246572033
000000000000000000a7,stable_nature,3000,118,215,0.06969441308106739,0.17250749168737906,0.712246635102189
000000000000000000a7,stable_nature,4000,100,100,0.06969441308106739,0.18479842459032814,0.7261439114770536
000000000000000000af,stable_nature,0,300,0,,,
000000000000000000af,stable_nature,25,300,0,,,
000000000000000000af,stable_nature,50,300,0,,,
000000000000000000af,stable_nature,75,300,0,,,
000000000000000000af,stable_nature,100,300,0,,,
000000000000000000af,stable_nature,150,300,0,,,
000000000000000000af,stable_nature,200,300,0,,,
000000000000000000af,stable_nature,300,300,0,,,
000000000000000000af,stable_nature,500,294,0,,,
000000000000000000af,stable_nature,1000,281,0,,,
000000000000000000af,stable_nature,2000,231,0,,,
000000000000000000af,stable_nature,3000,140,0,,,
000000000000000000af,stable_nature,4000,100,0,,,
00000000000000000181,stable_nature,0,257,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,25,257,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,50,257,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,75,257,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,100,257,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,150,257,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,200,256,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,300,255,199,0.07289008474799301,0.21716115541771805,0.74869928255746
00000000000000000181,stable_nature,500,251,199,0.07289008474799301,0.21716115541771805,0.74869928255746
