parent_label,inner_m,outer_m,n_sites_valid,n_sites_total,median_dor,median_m_g,median_m_b,median_n_good,median_n_bad
built_loss,2000,5000,89,90,0.5521731188926937,0.05849023140092391,0.07281142844115698,468.0,388.0
built_loss,2000,6000,90,90,0.5503561731525373,0.05831844740970001,0.07330150545553518,468.0,399.0
built_loss,2000,7000,90,90,0.5503561731525373,0.05831844740970001,0.07330150545553518,468.0,403.0
built_loss,2000,8000,90,90,0.5503561731525373,0.05831844740970001,0.0727006370427057,468.0,403.0
built_loss,3000,4000,48,90,0.5586471928953212,0.06901658954492591,0.10683407889961144,117.0,89.0
built_loss,3000,5000,89,90,0.5623386233303397,0.06174834898730164,0.08590950845711647,322.0,218.0
built_loss,3000,6000,90,90,0.558856528239415,0.06168400438934461,0.08478973759921579,321.0,221.0
built_loss,3000,7000,90,90,0.558856528239415,0.06168400438934461,0.08478973759921579,321.0,221.0
built_loss,3000,8000,90,90,0.5538372985321971,0.06168400438934461,0.08149045060956425,321.0,221.0
built_loss,4000,5000,88,90,0.5477016631091628,0.06886864261405501,0.08754061816006442,200.0,200.0
built_loss,4000,6000,90,90,0.5477016631091628,0.06886864261405501,0.08754061816006442,200.0,200.0
built_loss,4000,7000,90,90,0.5477016631091628,0.06886864261405501,0.08754061816006442,200.0,200.0
built_loss,4000,8000,90,90,0.5389911767675812,0.06886864261405501,0.08667196703917823,200.0,200.0
crop_loss,0,1000,61,68,0.4447333192212601,0.057493175238686,0.03364967604197087,30.0,34.0
crop_loss,0,2000,68,68,0.47080430733156975,0.030158894944833935,0.0335846086092353,126.0,143.0
crop_loss,0,3000,68,68,0.4690008517795842,0.028358287323195494,0.024977009053053986,283.0,293.0
crop_loss,0,4000,68,68,0.4707611920460252,0.028358287323195494,0.023517432996812283,400.0,400.0
crop_loss,0,5000,68,68,0.48071515582614577,0.02743573246119383,0.022468755357629523,600.0,600.0
crop_loss,0,6000,68,68,0.48071515582614577,0.02743573246119383,0.022468755357629523,600.0,600.0
crop_loss,0,7000,68,68,0.48071515582614577,0.02743573246119383,0.022468755357629523,600.0,600.0
crop_loss,0,8000,68,68,0.48071515582614577,0.02743573246119383,0.022468755357629523,600.0,600.0
crop_loss,500,1000,54,68,0.4500034843914051,0.07520719852499708,0.04376605295451362,23.0,26.0
crop_loss,500,2000,67,68,0.4665292330149192,0.03405447252165448,0.03516584076282596,114.0,130.0
crop_loss,500,3000,67,68,0.47542239388121177,0.031172009052058948,0.028869440422719616,278.0,282.0
crop_loss,500,4000,67,68,0.4834659693100427,0.031172009052058948,0.02650397764923438,390.0,386.0
crop_loss,500,5000,68,68,0.48608683504915917,0.02817240587277571,0.024592079452761106,590.0,584.0
crop_loss,500,6000,68,68,0.48608683504915917,0.02817240587277571,0.024315105264700806,590.0,586.0
crop_loss,500,7000,68,68,0.48608683504915917,0.02817240587277571,0.024315105264700806,590.0,586.0
crop_loss,500,8000,68,68,0.48608683504915917,0.02817240587277571,0.024315105264700806,590.0,586.0
crop_loss,1000,2000,67,68,0.48945449013287556,0.03405447252165448,0.042557231564170725,90.0,96.0
crop_loss,1000,3000,67,68,0.48574260288372056,0.031733738753907746,0.031746745472822524,246.0,242.0
crop_loss,1000,4000,67,68,0.48945449013287556,0.031733738753907746,0.029019485202168883,360.0,350.0
crop_loss,1000,5000,68,68,0.5066103440684249,0.028909480080228867,0.025415741726962524,559.0,540.0
crop_loss,1000,6000,68,68,0.5066103440684249,0.028909480080228867,0.0253861189426427,559.0,546.0
crop_loss,1000,7000,68,68,0.5066103440684249,0.028909480080228867,0.0253861189426427,559.0,546.0
crop_loss,1000,8000,68,68,0.5066103440684249,0.028909480080228867,0.0253861189426427,559.0,546.0
crop_loss,2000,3000,57,68,0.4894654109551634,0.04455562175310564,0.034560145573221776,162.0,144.0
crop_loss,2000,4000,57,68,0.5183665878643847,0.04015765352525258,0.03360774180640156,262.0,248.0
crop_loss,2000,5000,67,68,0.5218921412412708,0.03699378056533524,0.03090239475107399,462.0,428.0
crop_loss,2000,6000,68,68,0.520153369114835,0.037232486995771585,0.031005813163879993,461.0,431.0
crop_loss,2000,7000,68,68,0.520153369114835,0.037232486995771585,0.031005813163879993,461.0,431.0
crop_loss,2000,8000,68,68,0.520153369114835,0.037232486995771585,0.031005813163879993,461.0,431.0
crop_loss,3000,4000,45,68,0.49211290198045327,0.04790471506570615,0.03907842086802817,100.0,98.0
crop_loss,3000,5000,67,68,0.5113110927694104,0.0380275433982983,0.035272870799224254,290.0,268.0
crop_loss,3000,6000,68,68,0.5046928927698764,0.03806647074602018,0.0320304287787098,290.0,272.0
crop_loss,3000,7000,68,68,0.5046928927698764,0.03806647074602018,0.0320304287787098,290.0,272.0
crop_loss,3000,8000,68,68,0.5046928927698764,0.03806647074602018,0.0320304287787098,290.0,272.0
crop_loss,4000,5000,67,68,0.5084540756204767,0.04542281891195936,0.03742889395822844,200.0,200.0
crop_loss,4000,6000,68,68,0.5048490965153825,0.045983231657701254,0.036691725557023436,200.0,200.0
crop_loss,4000,7000,68,68,0.5048490965153825,0.045983231657701254,0.036691725557023436,200.0,200.0
crop_loss,4000,8000,68,68,0.5048490965153825,0.045983231657701254,0.036691725557023436,200.0,200.0
stable_built,0,1000,207,235,0.28057250566927916,0.1283732585472958,0.048692384798585044,15.0,44.0
stable_built,0,2000,232,235,0.31557032310516697,0.09511768378389857,0.04270315008698655,62.0,115.5
stable_built,0,3000,233,235,0.324106942968708,0.0812028263591267,0.04009622982221857,141.0,200.0
stable_built,0,4000,234,235,0.3338462468406399,0.07721799266466783,0.03911741611447953,200.0,200.0
stable_built,0,5000,235,235,0.33853046632391376,0.07246472018847686,0.03860970492372513,300.0,300.0
stable_built,0,6000,235,235,0.33853046632391376,0.07246472018847686,0.03860970492372513,300.0,300.0
stable_built,0,7000,235,235,0.33853046632391376,0.07246472018847686,0.03860970492372513,300.0,300.0
stable_built,0,8000,235,235,0.33853046632391376,0.07246472018847686,0.03860970492372513,300.0,300.0
stable_built,500,1000,174,235,0.3294055825620579,0.14977288919041404,0.0776176383248899,11.0,23.0
stable_built,500,2000,226,235,0.3631915340116762,0.10197753800813802,0.0559535440763939,57.0,88.0
stable_built,500,3000,227,235,0.367942985688645,0.08418542158866689,0.053159091275336176,136.0,157.0
stable_built,500,4000,228,235,0.371278900882039,0.0818940163564351,0.05306749851356307,196.0,184.0
stable_built,500,5000,235,235,0.38255009010961494,0.07498517869947212,0.049704105482753835,296.0,281.0
stable_built,500,6000,235,235,0.3794050748598636,0.07498517869947212,0.049704105482753835,296.0,283.0
stable_built,500,7000,235,235,0.3794050748598636,0.07498517869947212,0.049704105482753835,296.0,283.0
stable_built,500,8000,235,235,0.3794050748598636,0.07498517869947212,0.049704105482753835,296.0,283.0
stable_built,1000,2000,205,235,0.39177964821768213,0.10560995236688127,0.06658349353572646,47.0,65.0
stable_built,1000,3000,208,235,0.3994742399278757,0.08789417707199812,0.05938556564154666,123.0,129.5
stable_built,1000,4000,209,235,0.3964639782601502,0.08244514892470703,0.05793004381781255,182.0,156.0
stable_built,1000,5000,233,235,0.40578887895920196,0.07887967416871673,0.05439000127130196,283.0,246.0
stable_built,1000,6000,235,235,0.40578887895920196,0.07888698381600523,0.05439000127130196,283.0,248.0
stable_built,1000,7000,235,235,0.4055789015865901,0.07888698381600523,0.054118936869584536,283.0,248.0
stable_built,1000,8000,235,235,0.4055789015865901,0.07888698381600523,0.054118936869584536,283.0,248.0
stable_built,2000,3000,160,235,0.4017865807180083,0.09779089352245957,0.07210397072068371,78.0,74.0
stable_built,2000,4000,161,235,0.3931213439875339,0.09119415312298254,0.06817166298800788,134.0,102.0
stable_built,2000,5000,232,235,0.41332872427931167,0.08613029347363496,0.06186718639143478,236.0,166.5
stable_built,2000,6000,235,235,0.4052794706839717,0.08732427475139508,0.06173748857178971,236.0,170.0
stable_built,2000,7000,235,235,0.4052794706839717,0.08732427475139508,0.06163847253710077,236.0,170.0
stable_built,2000,8000,235,235,0.4052794706839717,0.08732427475139508,0.06163847253710077,236.0,170.0
stable_built,3000,4000,85,235,0.37922300816418375,0.11124572015302203,0.08427748587462014,55.0,45.0
stable_built,3000,5000,232,235,0.3986079076476693,0.10449345547699518,0.06736131545139032,155.5,100.0
stable_built,3000,6000,235,235,0.3946846120136303,0.10670991806443067,0.06717287171538207,155.0,100.0
stable_built,3000,7000,235,235,0.39444186016811894,0.10670991806443067,0.06717287171538207,155.0,100.0
stable_built,3000,8000,235,235,0.39444186016811894,0.10670991806443067,0.06717287171538207,155.0,100.0
stable_built,4000,5000,232,235,0.3895498388117059,0.11234231660341865,0.06947569279236404,100.0,100.0
stable_built,4000,6000,235,235,0.3850297279824147,0.11295511817480372,0.06862162363366357,100.0,100.0
stable_built,4000,7000,235,235,0.38250954328713427,0.11295511817480372,0.06862162363366357,100.0,100.0
stable_built,4000,8000,235,235,0.38250954328713427,0.11295511817480372,0.06862162363366357,100.0,100.0
stable_crop,0,1000,440,523,0.2671418316477087,0.10382115795016879,0.027582106613621246,14.0,19.0
stable_crop,0,2000,516,523,0.31108208542379373,0.06493180314315619,0.021617131723069907,56.0,74.0
stable_crop,0,3000,523,523,0.3374520856289259,0.05357558782794851,0.01992711760677037,130.0,158.0
stable_crop,0,4000,523,523,0.34511806969151904,0.04989371702803824,0.019431242374115264,200.0,200.0
stable_crop,0,5000,523,523,0.3495567340100152,0.04641657511957342,0.018571780935517767,300.0,300.0
stable_crop,0,6000,523,523,0.3495567340100152,0.04641657511957342,0.018571780935517767,300.0,300.0
stable_crop,0,7000,523,523,0.3495567340100152,0.04641657511957342,0.018571780935517767,300.0,300.0
stable_crop,0,8000,523,523,0.3495567340100152,0.04641657511957342,0.018571780935517767,300.0,300.0
stable_crop,500,1000,412,523,0.32746549051488855,0.1317603436749726,0.04853619325804294,11.0,14.0
stable_crop,500,2000,516,523,0.35966721367381405,0.06851133040580212,0.029135715283772023,53.0,67.0
stable_crop,500,3000,523,523,0.3713975249422672,0.05599541686596417,0.025918586222348217,126.0,151.0
stable_crop,500,4000,523,523,0.3824442620592687,0.05143373073207826,0.024561340436261615,196.0,193.0
stable_crop,500,5000,523,523,0.38842375585302186,0.046628539477194766,0.023221362838725047,295.0,293.0
stable_crop,500,6000,523,523,0.38842375585302186,0.046628539477194766,0.023221362838725047,295.0,293.0
stable_crop,500,7000,523,523,0.38842375585302186,0.046628539477194766,0.023221362838725047,295.0,293.0
stable_crop,500,8000,523,523,0.38842375585302186,0.046628539477194766,0.023221362838725047,295.0,293.0
stable_crop,1000,2000,512,523,0.37817311162716505,0.07685905359016902,0.034114131664208056,43.0,53.0
stable_crop,1000,3000,520,523,0.3884124203194873,0.05901118127168205,0.029728939748797877,116.0,135.0
stable_crop,1000,4000,520,523,0.40241978341800116,0.05379036291565627,0.02805856396583344,183.0,177.0
stable_crop,1000,5000,522,523,0.4052083940848997,0.0482711193844301,0.026274510263235087,282.0,276.5
stable_crop,1000,6000,522,523,0.4052083940848997,0.048055876686905835,0.026274510263235087,282.5,277.0
stable_crop,1000,7000,523,523,0.4054564370213022,0.04796558235566721,0.026372397292499274,283.0,277.0
stable_crop,1000,8000,523,523,0.4054564370213022,0.04796558235566721,0.026372397292499274,283.0,277.0
stable_crop,2000,3000,498,523,0.40971650715515673,0.07541359623494549,0.03735218740805887,72.0,79.0
stable_crop,2000,4000,499,523,0.41899199986747704,0.06303602994908067,0.034084070581598014,133.0,124.0
stable_crop,2000,5000,522,523,0.4217337566678738,0.05440320366227594,0.030723302267169027,233.0,221.0
stable_crop,2000,6000,522,523,0.42123305800949196,0.05440320366227594,0.030723302267169027,233.0,221.0
stable_crop,2000,7000,523,523,0.42145083750296214,0.05437773568249062,0.030786874783009188,233.0,221.0
stable_crop,2000,8000,523,523,0.42145083750296214,0.05437773568249062,0.030786874783009188,233.0,221.0
stable_crop,3000,4000,351,523,0.42484122424215764,0.08038476557463062,0.04740387911225739,58.0,48.0
