strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss
spatial_thin_150_cap100,158,0.009826336687632914,0.019065106348303208,38.24672299128248,22.737463092458164,0.9367088607594937,0.8037974683544303,0.6518987341772152,0.10973296404848892,0,0.01026821826168578,34.82683394682452,0.4985230628362711,90,0.009410109708940462,42.45090098566861,0.5043768616903155,68
hybrid_150_diverse_100,158,0.010019330280994554,0.01675520797243278,39.52413591064252,22.987979862075665,0.9430379746835443,0.8037974683544303,0.6582278481012658,0.1245866986604931,0,0.010283385024643793,35.299188951316566,0.4982533088375243,90,0.009612655726246006,43.82071516127935,0.5059475560074571,68
spatial_thin_100_cap100,158,0.010187236042761616,0.017682953681233484,33.46492529655863,20.257255050012382,0.9177215189873418,0.759493670886076,0.6075949367088608,0.10101184009699544,0,0.010469997603604592,31.804916206339065,0.49897303105256496,90,0.009409676022341829,38.162575080649546,0.503982586814136,68
spatial_thin_250_cap150,158,0.010699963586458333,0.019659592727578515,42.31307949018728,26.16147220289035,0.9430379746835443,0.8227848101265823,0.6835443037974683,0.12460919273311861,0,0.010914163243065433,37.53081764418182,0.49882960060464065,90,0.009991340947986538,47.74649508908875,0.5034141257797218,68
spatial_thin_250_cap100,158,0.010912429792926753,0.022037364345483753,43.09087387114889,25.532420340963665,0.9430379746835443,0.8164556962025317,0.6835443037974683,0.12344201390565117,0,0.010982398734804805,37.71723642335377,0.4984091827680053,90,0.01070959812308761,47.95594517701072,0.5030985990115464,68
hybrid_300_diverse_100,158,0.011851489021683925,0.02201020519608162,41.20471069669155,25.092471206227298,0.9430379746835443,0.8164556962025317,0.6835443037974683,0.1322398254779015,0,0.01315297037732982,37.73497257661107,0.4977876351417034,90,0.011171372189505147,45.79021131550512,0.5037455507974624,68
fscs_60,158,0.011927820253642724,0.01944395770960273,25.416397300539394,15.077767973515227,0.8417721518987342,0.6518987341772152,0.34810126582278483,0.09461742687247414,0,0.012477122809078756,24.057349051411457,0.49741191313202526,90,0.01093609221374564,27.33391375325137,0.5041570867128402,68
spatial_thin_300_cap100,158,0.011945416554161453,0.021133831322143956,41.74220807938798,24.348357434422702,0.9430379746835443,0.8227848101265823,0.6708860759493671,0.1296888041677244,0,0.01268811899247968,37.431927476358354,0.49842798964678003,90,0.010475240368559485,46.51378362909139,0.5040936831599594,68
spatial_thin_300_cap150,158,0.012151193293716,0.022163442879599937,41.757860581462005,25.634931426063634,0.9430379746835443,0.8227848101265823,0.6708860759493671,0.1286160522518878,0,0.013023076626929975,36.957605380485056,0.4984827989909769,90,0.010966879620864678,46.9428714637771,0.5037520263669487,68
hybrid_300_diverse_150,158,0.012151193293716,0.022163442879599937,41.757860581462005,25.634931426063634,0.9430379746835443,0.8227848101265823,0.6708860759493671,0.1286160522518878,0,0.013023076626929975,36.957605380485056,0.4984827989909769,90,0.010966879620864678,46.9428714637771,0.5037520263669487,68
random_60,158,0.012280110336242378,0.02030912430282581,24.73676227683388,14.238865810996819,0.8227848101265823,0.6455696202531646,0.2911392405063291,0.08904461313179868,0,0.013466117734662303,23.3235878914913,0.49668607736841586,90,0.011574257191098253,26.90208748677212,0.5051424858742313,68
spatial_thin_150_cap60,158,0.012646355963830874,0.021466223488772244,30.78447453379684,21.36872052921717,0.9367088607594937,0.7784810126582279,0.5316455696202531,0.10609158705814783,0,0.01342214522151361,28.56596337663862,0.4995951196570884,90,0.011599978429432084,33.490861885726126,0.5031724035686698,68
feature_diverse_60,158,0.012906360907047443,0.018836200111471916,26.835943256999954,16.69238528877398,0.8734177215189873,0.6962025316455697,0.4050632911392405,0.13903670173939361,0,0.013606778878832049,23.135378559090665,0.4971892515351871,90,0.011779233115046306,30.571553220450575,0.5086855864618183,68
spatial_thin_100_cap60,158,0.013159246144229225,0.01905441157549628,27.250994846324474,16.973010566959964,0.9177215189873418,0.7025316455696202,0.3987341772151899,0.09717627848195125,0,0.013516154123721813,25.834523180326368,0.49804226326002127,90,0.0124699994119149,28.545704702562098,0.5040795863938798,68
spatial_thin_250_cap60,158,0.01363128905935726,0.024750688316174285,37.91794110044199,25.636690678643365,0.9430379746835443,0.8227848101265823,0.6772151898734177,0.11733920991667941,0,0.014250751288999719,35.801499535136216,0.4991092403908007,90,0.011774751049577759,40.37271038880769,0.5042109100009708,68
spatial_thin_300_cap60,158,0.013763938499041756,0.02602375029273637,41.18836842332031,25.030963439536777,0.9430379746835443,0.8227848101265823,0.6772151898734177,0.11739585409402244,0,0.01446092466511395,37.55270259505636,0.498139206643708,90,0.012014896189759205,43.65972459181556,0.5025471896636736,68
random_40,158,0.014764562120307051,0.025063534410926007,20.244996432731558,12.67297791737214,0.8227848101265823,0.5189873417721519,0.0189873417721519,0.09344706377183144,0,0.015487324087928273,19.493759942935327,0.49680344306245783,90,0.013259413315578839,21.093089384915736,0.5034305973299409,68
