PLOTID,parent_id,longitude,latitude,group,ghm_aa
a63-16426881479642_45-58267819860652,,63.16426881479575,45.58267819858828,stable_natural,0.03340746462345123
a89-91945921780903_22-564261722949,,89.91945921781169,22.564261722937,stable_natural,0.3961386978626251
a60-6589049340735_56-95948929530286,,60.65890493406903,56.95948929527114,stable_natural,0.9807707667350769
a69-02911694940356_33-48516626510029,,69.02911694940417,33.48516626509071,stable_artificial,0.6978532075881958
a125-63404219018496_11-15937122215145,,125.63404219018688,11.159371222142376,stable_natural,1.0
a104-92179525104721_9-03375535780906,,104.92179525105004,9.033755357806264,stable_artificial,0.47789818048477173
a55-47713386876919_58-2524926460564,,55.47713386877653,58.25249264602576,stable_natural,0.3804595172405243
a138-9713564101984_65-27265869241475,,138.9713564101944,65.27265869237206,stable_natural,0.0015438692644238472
a100-64386192378244_2-00164999210326,,100.64386192378473,2.0016499921006106,stable_artificial,0.6780000329017639
a22-4607456142045_36-8000526110497,,22.460745614206587,36.80005261103416,stable_natural,0.1087365448474884
a37-79725633665504_48-98058973026345,,37.797256336656105,48.98058973024395,stable_natural,1.0
a-60-80824513178491_-32-98705384728341,,-60.80824513178568,-32.98705384727097,stable_natural,0.9707890748977661
a-78-23274211250573_-6-65018918123533,,-78.23274211250458,-6.650189181230356,stable_artificial,0.9290927052497864
a131-07555794618116_45-35744744213948,,131.07555794618366,45.3574474421203,stable_natural,0.9544100165367126
a34-28678843412527_0-11652415170884,,34.28678843412503,0.1165241517012382,stable_natural,0.6137925386428833
a29-53361039701667_-6-75260923130411,,29.53361039701824,-6.752609231297535,stable_natural,0.7193750143051147
a21-63501941900816_61-69726416950046,,21.63501941902201,61.69726416946118,stable_natural,0.9284378290176392
a57-16813062636712_65-11287607697254,,57.1681306263673,65.11287607693563,stable_natural,0.6155514121055603
a-98-47318020432094_26-58390434491239,,-98.47318020431996,26.58390434489676,stable_natural,0.42152076959609985
a-6-90036188483504_15-72147075426131,,-6.900361884835763,15.721470754250428,stable_natural,0.12333285808563232
a105-9545922942305_9-4161596339744,,105.95459229423145,9.416159633972535,stable_natural,0.38918906450271606
a-97-7795911350382_48-49325495741431,,-97.77959113503783,48.4932549573941,stable_natural,0.3965551555156708
a-5-5968603213978_40-18058831060638,,-5.5968603214003565,40.180588310589656,stable_natural,0.021317316219210625
a100-27557791995878_7-3741830029748,,100.27557791995848,7.374183002974192,stable_natural,
a2-11393642484797_10-83200498052731,,2.113936424850832,10.83200498052279,stable_artificial,0.985098123550415
a147-5055644432345_-30-42486907980029,,147.50556444323567,-30.424869079787875,stable_natural,0.0944889560341835
a-3-46217582294969_33-28578424975769,,-3.462175822949429,33.28578424974609,stable_natural,0.0031072665005922318
a26-5482148300742_-11-88734177013078,,26.548214830073853,-11.887341770121171,stable_natural,0.32732585072517395
a76-86051880022518_15-09143802719739,,76.86051880022617,15.091438027189678,stable_natural,0.9272922277450562
a36-61292539703357_47-88568021208093,,36.612925397037145,47.88568021205951,stable_natural,0.40265077352523804
